A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,Approval
b,20.93,8.5,l,g,k,n,11.09,f,f,1,t,s,56759,53,-
a,27.49,23.6,y,gg,k,v,3.99,f,f,0,f,g,105973,23,+
b,62.9,11.92,l,g,x,n,5.88,f,f,1,t,g,44306,46,+
a,23.42,15.41,u,p,ff,n,4.74,f,f,1,f,g,108369,70,-
b,28.87,7.6,y,gg,i,bb,18.97,f,f,2,t,g,186443,82,+
b,20.39,29.63,l,p,w,j,18.89,f,t,0,t,p,151990,85,-
a,51.54,8.74,y,gg,w,h,12.2,f,f,0,t,g,28379,62,+
a,66.81,23.12,u,gg,aa,z,18.49,t,t,0,t,p,120667,56,+
a,28.33,12.82,y,g,aa,j,15.72,t,t,0,t,g,134034,54,-
a,40.1,6.19,y,g,d,z,11.8,f,f,1,f,p,144923,59,-
a,49.16,23.99,y,p,m,bb,0.13,f,f,1,f,s,117626,98,-
a,69.97,10.01,y,g,j,bb,15.45,t,t,2,t,g,176819,61,+
a,18.97,25.96,u,g,x,bb,14.05,f,f,2,t,p,125180,29,-
a,41.42,27.46,y,gg,k,v,12.31,t,f,0,t,s,52349,92,-
b,34.95,25.79,y,g,d,z,15.21,t,t,2,t,g,187428,21,-
b,62.35,1.05,l,gg,j,j,10.26,t,t,2,f,g,145817,74,-
a,40.13,23.62,y,gg,w,j,14.08,f,t,0,t,g,5730,83,-
b,19.33,12.34,l,gg,i,n,18.7,f,f,0,f,p,144993,28,+
b,49.16,26.21,u,p,q,n,7.52,t,t,2,t,p,19023,40,-
b,56.93,19.14,u,p,k,n,14.16,t,f,1,f,s,176421,41,-
b,13.16,25.01,u,p,d,bb,9.51,t,t,2,t,p,126796,97,+
a,61.96,14.98,u,gg,c,j,13.49,t,t,2,t,p,81533,64,-
b,23.6,16.05,l,p,j,z,15.26,t,t,1,f,g,83286,30,-
a,44.47,4.33,y,p,q,bb,0.91,f,f,1,t,g,41979,29,-
b,36.7,23.52,u,g,k,v,12.93,t,f,0,t,g,22837,17,-
b,54.02,12.58,y,p,w,n,4.53,f,t,0,t,g,146069,16,-
b,34.16,15.0,l,p,e,bb,13.4,t,t,2,f,g,104975,37,+
a,62.58,23.55,l,gg,m,bb,9.37,f,t,1,t,g,176111,13,+
b,54.64,17.97,l,gg,j,v,15.47,f,f,0,t,g,20923,86,+
a,49.92,6.03,u,gg,w,h,2.47,f,t,2,f,s,8876,88,-
b,58.39,17.71,y,gg,k,j,12.53,f,f,1,f,s,60973,78,+
a,55.98,12.23,y,gg,j,z,5.57,f,t,2,f,s,133959,55,-
b,15.05,14.09,y,gg,x,h,17.06,f,t,0,t,s,194795,21,-
a,35.5,0.85,l,p,q,n,18.57,t,t,0,t,g,42422,66,-
a,66.06,6.3,u,gg,k,bb,19.93,f,t,1,t,s,51413,55,+
b,20.17,8.43,l,gg,x,v,15.92,t,t,2,f,g,102484,18,+
a,55.01,21.39,l,g,r,v,15.07,f,t,1,t,s,133913,56,+
b,68.55,0.34,y,p,d,j,4.31,f,f,0,t,p,28756,43,-
b,15.98,12.26,l,p,e,h,6.72,t,t,0,f,s,71576,97,+
b,51.89,27.72,y,p,aa,j,9.31,f,f,2,f,s,118248,34,-
b,39.68,3.36,u,gg,q,bb,15.47,t,t,2,f,g,10304,0,+
b,46.01,15.49,y,gg,j,j,18.3,t,t,2,f,s,30341,51,+
b,17.86,23.6,u,gg,m,z,3.78,t,f,1,f,p,135830,84,-
b,15.45,28.28,y,g,w,v,18.45,t,t,2,t,g,148082,92,-
b,51.01,22.4,l,gg,aa,v,13.91,f,f,2,f,g,127039,69,+
b,59.93,21.62,l,g,c,n,12.22,f,f,0,t,s,191830,36,+
b,57.57,24.79,u,p,w,n,4.0,t,t,0,t,g,162730,64,+
b,44.0,13.39,u,gg,j,bb,1.11,f,f,2,f,g,180074,50,-
a,18.69,24.18,u,g,e,z,11.37,f,f,2,f,g,132447,0,-
a,52.22,0.24,y,g,ff,h,13.03,t,t,0,f,g,99485,90,+
b,26.79,27.74,y,gg,w,j,4.22,f,f,2,t,g,22092,20,+
b,64.93,13.3,u,p,ff,bb,11.13,t,t,1,f,g,131562,52,-
b,60.78,16.6,l,p,d,n,17.13,t,t,1,f,p,3729,15,+
b,53.43,7.65,y,p,e,j,16.7,f,t,1,f,s,137046,60,-
b,67.08,22.28,y,g,k,n,18.55,f,t,2,f,p,118222,53,-
b,14.79,2.3,y,g,x,j,7.32,f,f,0,f,g,85216,39,-
b,54.96,26.18,u,g,c,h,6.36,t,t,2,t,g,83860,25,-
b,31.82,24.84,u,g,cc,bb,14.99,t,t,2,t,s,96870,79,-
a,64.65,6.48,u,p,j,j,8.62,f,f,0,t,p,21398,91,-
b,28.2,24.28,u,gg,i,z,1.75,f,t,0,f,s,34650,64,+
a,54.32,23.59,u,g,cc,v,5.66,f,t,0,f,p,152364,99,-
b,63.03,18.97,l,g,w,z,8.37,f,f,1,f,g,103889,73,-
b,15.37,11.21,l,p,aa,z,5.85,t,f,2,t,s,3159,63,+
a,35.67,8.14,u,gg,j,v,6.64,f,f,0,f,s,98162,42,-
b,56.45,6.95,y,gg,x,z,5.88,t,f,2,f,g,193838,16,+
a,38.93,9.56,u,p,r,j,0.83,t,f,1,f,s,102834,58,-
b,28.23,27.11,l,p,x,j,12.74,f,f,1,t,p,148137,22,+
b,25.53,2.33,l,gg,i,j,11.95,f,f,0,f,p,21638,6,+
a,20.5,24.87,y,g,c,v,13.07,f,t,0,t,p,1073,43,-
b,61.86,10.47,l,gg,x,z,3.85,t,f,2,f,p,177583,52,-
a,45.8,15.65,u,p,m,v,5.91,f,f,0,t,g,29320,70,-
b,17.35,23.83,y,g,r,j,12.39,f,f,2,t,s,34924,78,-
a,34.81,26.53,u,g,cc,z,11.99,t,t,0,t,p,171806,33,+
a,33.96,10.34,u,p,k,z,10.13,f,t,2,f,g,68116,45,+
b,23.36,13.86,y,p,d,n,7.01,t,f,2,f,s,171097,67,+
b,37.82,12.44,u,p,m,n,18.26,f,f,2,t,s,2159,77,-
a,31.93,0.4,l,gg,r,h,6.8,t,f,2,t,g,48940,77,+
b,32.48,8.88,u,gg,k,bb,9.11,f,t,1,f,g,79436,15,-
b,55.12,13.78,y,g,k,n,13.56,f,t,2,f,p,14678,70,-
b,25.73,12.33,y,p,j,v,10.86,t,f,0,t,s,192147,95,+
a,49.59,21.66,y,g,r,n,6.94,t,t,1,f,s,178276,18,-
a,45.53,11.54,u,g,c,h,8.71,f,f,1,f,g,143093,1,+
a,45.38,14.68,y,g,w,z,15.89,t,t,2,f,s,137844,9,-
a,50.79,12.89,y,g,i,h,5.56,t,t,1,f,p,67163,49,+
a,44.26,22.22,u,p,i,z,2.85,t,f,2,t,s,154536,80,-
a,63.12,25.89,l,g,cc,z,6.26,t,f,0,f,g,51137,11,+
a,51.51,15.96,u,p,cc,bb,16.99,f,f,2,f,g,161304,69,+
a,44.18,23.68,y,p,i,n,1.78,f,f,1,t,p,61497,21,-
a,60.3,8.9,y,gg,x,v,19.83,t,t,0,t,p,100485,31,-
b,47.55,16.24,u,p,c,v,10.82,t,t,2,f,s,182520,83,+
a,29.6,10.36,l,gg,ff,j,19.7,t,t,0,f,s,105468,0,-
b,24.8,12.43,y,p,x,z,18.78,t,f,0,f,g,901,53,-
b,21.68,21.97,y,p,aa,v,9.06,f,t,1,f,p,87980,57,-
b,64.27,26.45,y,p,x,bb,3.97,f,f,0,t,p,107594,69,+
a,53.48,3.64,u,gg,d,z,3.3,t,t,1,t,p,2881,82,+
a,66.43,19.04,y,gg,q,bb,4.8,t,f,0,t,s,29863,17,-
a,47.39,17.46,l,g,w,v,14.2,t,f,2,f,p,136694,5,-
a,39.98,3.55,y,gg,d,v,5.46,f,t,0,f,g,132450,44,+
b,16.4,6.36,y,gg,j,j,6.83,t,f,2,f,g,45201,96,-
a,51.28,9.33,l,gg,q,v,8.98,f,f,2,f,s,59251,22,+
a,46.19,5.01,y,gg,q,z,18.26,t,t,0,t,s,72572,22,-
a,69.44,7.31,u,g,r,z,3.79,f,f,2,t,p,39255,25,-
a,26.63,8.03,u,gg,c,z,0.1,t,f,0,f,s,63212,76,-
a,43.25,10.07,u,p,c,j,1.2,f,f,0,t,g,50210,6,+
b,50.1,22.48,l,p,q,j,18.1,t,t,2,f,p,125629,78,+
a,49.74,17.16,y,gg,aa,v,12.95,t,t,2,f,g,22499,43,+
b,44.99,29.59,u,gg,x,h,5.46,t,f,1,t,p,102552,26,+
a,57.28,12.44,l,p,r,h,3.54,f,t,2,f,s,182700,25,-
b,24.68,22.62,y,p,w,j,5.89,t,f,1,f,p,61360,96,-
a,54.36,26.14,l,g,q,v,2.3,f,f,2,t,p,135675,78,+
a,48.32,20.37,u,p,m,h,18.83,f,f,0,f,g,127466,35,-
b,64.08,12.36,u,p,cc,v,15.68,t,f,2,f,g,85473,54,-
b,61.29,22.61,u,gg,cc,v,9.25,t,f,0,t,p,143704,63,+
b,30.96,6.11,l,p,d,v,17.3,t,t,0,f,s,161679,90,-
a,28.75,9.83,l,g,j,n,4.99,f,f,0,t,s,91873,56,-
b,68.95,16.4,u,p,e,z,14.34,t,t,1,f,g,65756,68,+
a,43.05,17.26,l,gg,e,v,17.12,f,t,2,t,s,178066,60,-
a,64.67,0.66,u,gg,cc,n,7.14,f,f,0,t,g,194454,1,-
b,22.34,28.35,u,p,ff,j,15.15,t,f,0,t,s,56344,54,-
b,49.64,20.9,y,gg,k,h,5.9,t,t,1,f,p,184847,96,+
a,59.16,14.87,l,g,d,z,5.98,t,t,2,t,g,138421,79,+
a,67.0,27.99,u,g,e,h,2.14,t,t,2,t,g,71154,86,-
b,32.23,13.17,u,p,cc,z,8.8,t,f,1,t,p,27464,37,-
b,54.32,29.41,l,p,j,h,14.59,t,t,1,t,g,173696,79,-
b,43.71,15.37,y,p,e,z,18.8,f,f,2,t,s,121897,77,+
a,16.46,3.43,y,gg,x,h,12.08,f,f,1,f,s,37344,28,+
a,52.33,22.94,u,g,x,h,17.26,f,f,2,f,g,83791,25,+
a,52.34,20.37,l,g,c,h,16.45,t,t,2,f,s,155371,34,-
a,66.04,23.19,y,gg,aa,h,3.47,f,f,0,f,g,179047,78,-
a,41.35,28.54,l,g,c,j,9.72,f,f,0,f,p,132534,66,-
a,26.12,23.29,l,p,w,v,2.34,f,f,2,f,g,120209,86,-
b,15.54,18.34,u,p,q,bb,13.64,f,f,2,f,p,81441,28,-
a,36.69,25.72,y,p,m,n,19.0,f,f,2,t,s,90456,33,+
a,30.21,20.2,u,g,c,bb,2.74,t,t,2,f,p,81788,96,-
a,56.38,12.24,y,p,e,bb,14.68,t,f,2,t,s,171653,40,-
b,33.19,26.57,y,gg,ff,z,12.64,f,f,2,t,g,14175,40,-
a,67.1,6.66,y,gg,r,v,11.67,f,t,1,f,s,137263,22,+
a,67.85,21.44,y,g,cc,z,7.8,f,f,2,t,g,83434,70,-
b,48.39,26.45,y,gg,r,v,7.1,t,t,1,t,g,84518,2,+
a,65.93,21.94,l,gg,j,v,0.9,t,f,1,t,p,66537,57,+
a,56.37,20.92,u,g,c,h,4.36,f,t,2,t,p,115721,31,+
a,44.17,22.58,l,p,m,j,0.3,t,t,2,f,p,47645,30,+
a,23.28,13.95,y,p,j,h,11.63,t,f,1,f,p,23283,81,+
a,39.14,26.23,u,p,k,j,2.12,f,f,1,f,s,86971,42,-
b,44.97,6.1,y,g,k,z,17.46,t,f,2,f,s,92759,6,-
b,62.25,3.82,u,gg,r,j,10.46,t,t,2,f,s,190195,0,+
b,40.44,8.57,l,p,q,z,13.99,f,t,1,f,g,102780,60,+
a,64.17,15.95,u,p,d,bb,8.22,t,t,1,f,s,161096,13,+
a,51.44,15.32,u,g,q,bb,11.21,t,f,1,f,s,180702,51,-
a,20.81,24.62,u,p,e,j,18.85,f,t,0,f,s,30734,95,-
b,69.71,12.14,u,g,x,j,1.65,t,t,1,f,p,515,5,+
a,43.05,14.53,u,gg,w,z,5.08,t,f,0,t,s,110782,9,-
a,35.34,0.4,y,g,q,h,15.6,f,t,2,f,g,66727,70,-
b,50.57,12.29,u,g,aa,z,1.97,f,t,2,t,p,109164,89,+
a,19.21,19.43,u,g,w,h,1.51,f,f,1,t,g,46216,97,+
b,49.28,0.47,l,g,w,bb,7.23,t,t,2,t,s,71833,29,-
b,41.4,8.43,u,gg,m,v,1.84,f,f,2,t,p,58755,99,-
b,36.18,6.24,l,gg,c,j,11.7,t,f,2,f,g,27856,20,-
a,67.32,1.26,y,p,m,h,4.53,f,f,2,t,s,73870,59,+
a,42.78,14.38,u,gg,w,z,17.91,t,f,0,f,g,155234,80,+
a,25.49,5.45,l,gg,j,bb,15.67,f,f,0,f,g,137080,96,+
a,39.16,22.29,l,p,k,h,13.99,f,t,1,t,g,7987,73,-
a,65.41,25.44,y,gg,w,z,12.34,f,t,1,f,s,193604,62,-
a,23.04,16.37,u,g,m,j,17.27,f,f,1,t,s,96502,41,+
a,25.2,29.45,u,g,ff,j,4.46,t,f,2,t,g,134404,50,-
b,13.74,13.51,l,p,j,n,17.46,f,t,2,f,p,66323,63,+
a,13.81,15.4,u,p,m,v,15.79,f,f,0,f,p,170062,75,-
b,60.28,29.68,l,p,q,n,14.96,t,f,0,t,s,9873,55,+
a,54.73,6.95,u,g,cc,bb,11.23,f,f,1,f,s,167516,79,-
a,33.24,28.28,l,gg,r,h,4.92,t,t,0,f,s,166412,40,-
a,52.8,1.29,u,g,d,bb,8.47,f,t,0,f,s,105219,31,+
b,35.53,13.39,y,p,x,z,15.87,f,f,0,t,s,5033,14,+
b,67.32,2.1,u,gg,m,j,0.64,f,f,0,t,p,73324,61,+
b,68.12,21.88,u,gg,aa,n,15.64,t,t,0,f,s,15689,26,+
b,35.39,18.25,y,g,d,n,4.8,f,t,1,f,g,109756,27,+
a,61.69,21.2,u,p,ff,n,2.89,f,f,1,f,g,66,80,-
b,57.07,11.23,y,g,i,bb,2.31,f,f,0,f,p,114159,63,+
a,30.67,11.08,u,gg,m,j,0.55,t,t,1,f,g,176318,58,+
a,26.23,1.36,l,g,cc,h,10.47,t,t,2,t,p,7533,57,+
b,39.12,10.5,l,g,d,z,4.37,f,t,0,f,p,115828,1,+
b,57.54,27.88,u,p,x,h,19.79,t,f,2,t,g,59658,35,+
b,67.73,11.38,u,p,w,bb,11.49,f,t,1,f,s,38498,70,-
b,56.52,24.94,u,gg,m,z,2.76,f,f,1,t,g,109028,12,+
b,61.75,25.27,l,g,c,n,13.78,f,t,2,f,g,11772,14,+
b,47.37,11.2,u,g,ff,v,17.95,f,t,1,t,p,89385,88,+
b,60.62,18.96,l,g,r,bb,14.9,f,t,0,f,g,180108,86,-
b,57.71,2.86,y,gg,cc,bb,1.53,f,t,2,t,p,189603,59,-
a,34.49,3.11,l,gg,e,j,17.92,f,f,0,t,s,12940,21,+
b,44.46,1.46,l,p,e,h,15.88,t,f,2,t,s,118027,62,+
b,58.87,17.43,y,p,aa,bb,3.17,t,t,1,t,s,16932,89,-
a,15.63,12.78,l,p,d,bb,1.04,t,f,2,t,g,187899,96,-
b,59.06,16.44,u,g,cc,n,11.15,t,t,2,t,p,192503,74,-
a,23.14,15.63,u,g,j,n,3.12,t,t,0,f,s,24648,73,+
a,42.34,10.51,l,p,x,z,16.69,t,t,1,t,p,32966,24,+
b,59.07,20.32,u,g,r,v,7.17,t,t,0,f,p,158849,47,-
a,27.47,22.76,l,p,w,j,18.26,f,f,1,f,s,163639,42,+
a,27.01,0.44,u,gg,m,v,11.31,f,t,0,f,s,148246,37,-
a,35.96,6.22,u,p,m,z,3.65,f,t,2,f,p,42598,40,-
a,63.99,21.4,l,gg,e,n,2.79,f,f,0,f,s,190271,44,-
b,13.03,11.6,u,g,m,h,11.53,t,t,1,t,p,144870,87,+
a,64.38,19.87,l,p,r,n,15.24,t,t,1,t,p,196436,39,-
b,21.77,10.41,u,g,c,j,15.63,f,t,2,t,s,148630,96,-
a,69.43,11.72,u,gg,i,n,5.52,f,f,1,f,g,61084,16,+
a,67.43,4.76,y,gg,aa,j,4.08,t,t,0,t,s,175309,87,-
a,41.2,7.75,y,gg,k,j,0.34,f,f,2,t,g,196569,56,+
a,42.23,18.16,l,g,q,j,13.58,f,t,1,t,p,131250,1,-
b,40.45,12.99,y,g,aa,z,1.53,f,t,1,t,p,17118,95,+
b,49.22,23.23,l,g,d,j,8.42,f,f,0,t,g,22616,61,-
a,18.17,25.58,y,g,c,j,12.03,t,t,0,f,p,131870,87,-
a,14.86,16.25,u,gg,aa,h,18.74,f,t,2,t,g,7601,8,-
b,16.29,22.75,l,gg,w,v,6.24,f,f,1,f,g,25363,67,-
a,38.33,9.21,l,p,e,bb,5.0,t,f,0,f,p,2795,80,-
a,28.71,12.45,u,p,ff,v,13.08,t,f,2,f,g,97462,16,+
a,48.46,21.38,l,g,d,j,12.38,f,f,1,f,s,176336,49,+
b,69.57,11.59,l,gg,m,h,6.64,t,f,1,f,s,102892,93,-
b,35.02,17.66,y,gg,cc,n,18.56,f,t,2,t,p,72833,39,-
b,45.71,5.56,l,gg,w,h,16.9,f,f,2,t,p,3084,57,-
a,36.69,17.99,u,p,d,j,4.48,t,t,0,t,g,95865,74,+
a,61.29,25.85,y,p,ff,h,4.78,f,t,1,f,g,731,84,+
b,64.43,26.06,y,gg,x,h,10.25,f,t,1,t,g,132201,20,-
b,63.01,21.73,u,gg,m,j,15.47,f,f,1,t,g,159094,17,+
b,68.54,22.37,u,gg,aa,z,0.88,f,f,2,f,s,1605,54,-
b,14.57,16.74,y,p,aa,h,13.87,t,t,0,f,s,77506,28,-
a,60.87,17.54,l,gg,d,bb,12.96,t,f,1,f,p,44130,23,-
b,55.85,4.01,y,gg,cc,bb,4.63,f,f,2,f,g,160337,73,+
a,26.04,13.32,u,g,x,h,13.63,t,f,1,t,g,163402,16,-
b,67.51,13.52,y,g,m,z,18.8,f,f,0,f,p,68469,17,-
a,21.45,28.75,u,p,ff,n,0.94,f,t,1,f,g,146259,41,-
b,51.73,12.93,y,gg,i,j,6.39,f,t,0,t,g,156863,83,+
b,25.82,16.48,l,gg,aa,bb,8.76,f,f,0,t,g,90436,44,+
b,37.59,16.0,y,g,ff,n,17.99,f,t,1,f,g,112341,81,+
b,53.99,19.1,y,p,c,h,19.25,t,f,1,t,g,170939,16,-
a,45.11,22.45,u,g,aa,n,8.88,f,f,0,f,p,131965,72,+
b,37.37,6.75,u,g,ff,v,15.0,t,t,2,f,g,99694,13,-
a,31.6,15.86,u,g,j,bb,10.63,t,t,0,t,p,19773,48,+
a,60.86,24.78,y,g,e,h,10.76,f,t,1,t,g,4239,28,-
a,21.2,13.89,l,gg,q,j,5.56,f,f,1,f,s,20863,94,+
a,37.52,8.35,u,gg,r,z,4.34,f,t,2,f,s,51415,3,-
b,64.51,19.64,u,g,e,h,5.76,f,f,0,f,s,68968,81,+
a,61.21,24.71,y,p,q,j,11.13,f,t,0,t,s,60430,19,+
a,35.85,1.89,u,p,w,z,0.58,t,t,0,f,p,1515,46,+
a,56.5,23.3,l,p,ff,z,18.14,f,f,1,f,p,97206,8,-
b,59.92,24.65,l,p,q,h,3.13,f,f,0,f,g,145677,76,+
b,63.67,13.85,u,g,m,n,4.4,t,f,2,f,s,56240,78,+
b,44.04,29.5,u,gg,i,n,10.37,t,f,1,f,p,5586,26,+
b,24.65,23.6,y,p,j,z,14.2,f,f,1,t,g,120419,14,+
a,27.55,23.21,l,g,c,n,1.91,t,f,0,f,g,122374,91,-
a,29.85,22.44,l,p,ff,v,6.35,f,f,2,f,p,31186,18,+
b,46.85,4.52,u,p,c,z,19.37,t,f,1,f,s,26928,89,-
a,14.87,6.52,y,g,cc,z,5.25,t,t,1,f,g,122990,51,-
a,49.25,13.92,l,gg,aa,j,6.26,f,f,0,t,s,87029,25,-
a,33.77,7.92,l,gg,ff,n,16.73,t,f,0,t,s,20711,88,-
b,29.83,12.46,y,g,r,z,1.0,t,t,2,t,s,54962,25,+
b,63.13,26.65,y,gg,ff,v,9.29,t,f,0,f,g,20039,25,-
a,39.22,24.73,l,g,d,j,7.59,t,t,2,f,s,36561,45,-
b,18.42,18.9,l,g,i,h,6.33,t,t,1,t,g,1577,91,-
b,60.12,25.74,y,g,d,z,5.71,t,f,2,t,s,107792,48,-
b,15.72,23.51,l,gg,ff,v,1.83,f,t,2,t,g,159422,81,+
b,54.42,12.87,u,g,j,bb,6.3,f,f,2,f,s,164870,95,+
b,57.11,6.03,u,p,q,v,0.86,t,t,1,f,p,10785,52,-
a,33.1,15.43,y,gg,c,v,15.62,f,t,0,t,s,72227,2,-
b,60.01,22.09,y,gg,j,j,7.96,f,t,1,t,s,118680,65,-
a,42.39,13.09,y,gg,ff,h,8.88,f,f,0,t,g,61957,96,+
a,39.41,20.0,u,gg,q,bb,17.87,t,f,2,f,g,65431,41,+
b,15.59,2.83,l,p,c,n,13.16,f,t,2,f,s,148369,18,+
a,29.53,22.44,u,gg,q,n,0.16,t,t,2,f,p,71894,16,+
a,66.07,24.38,l,gg,r,v,18.86,f,f,2,t,p,194844,32,+
a,35.33,21.21,u,g,i,j,4.74,t,f,2,t,g,150653,75,-
b,44.16,29.02,l,gg,e,j,2.15,t,t,0,f,p,55192,48,+
b,43.33,24.8,u,p,x,n,15.36,f,t,0,t,s,1462,55,+
a,46.65,27.09,y,p,w,bb,10.01,f,f,2,f,g,128848,62,-
b,16.5,28.01,u,p,j,h,8.68,t,f,1,t,s,195245,2,+
b,33.64,24.04,l,p,aa,bb,4.99,f,f,1,t,g,146583,48,+
b,54.22,20.23,u,gg,j,z,10.95,f,f,2,t,g,76106,54,+
b,24.43,0.17,u,gg,x,z,5.49,f,f,0,t,g,48665,25,-
a,24.6,13.97,u,p,e,h,18.03,t,t,1,f,g,175486,98,+
a,13.58,17.13,y,p,k,n,4.3,t,f,1,t,p,81010,71,-
b,37.94,9.12,u,gg,m,h,17.69,f,t,1,f,s,72573,51,-
b,63.32,9.54,y,p,r,j,11.19,f,f,2,f,s,107803,99,+
a,15.96,28.83,y,g,ff,z,16.57,f,t,1,f,s,119682,6,+
a,23.89,26.75,u,p,r,v,14.26,t,f,1,t,g,13386,45,+
b,30.67,25.48,u,p,x,v,13.93,t,f,1,f,p,124069,45,+
a,54.71,12.18,u,g,ff,n,6.49,f,t,1,f,s,54460,99,-
b,49.52,0.41,l,g,aa,j,4.68,f,t,0,f,p,137293,15,+
b,36.71,2.41,u,gg,d,bb,4.22,f,f,2,t,g,154546,23,-
a,56.27,9.37,y,gg,q,j,17.14,f,f,2,t,s,115375,60,-
a,47.75,0.47,u,g,m,v,16.41,f,f,0,f,p,112660,53,-
b,64.07,0.51,l,g,i,v,8.81,f,f,0,t,g,152117,61,-
b,59.63,27.5,u,gg,i,z,2.65,t,f,2,f,p,91319,0,-
a,27.41,21.18,l,p,x,j,7.65,f,t,1,f,s,116582,48,+
b,28.47,9.27,l,g,r,j,12.39,t,t,1,t,s,135994,24,-
a,20.15,3.98,u,gg,i,v,9.09,f,f,2,f,g,153778,9,-
b,32.21,15.35,y,p,aa,bb,15.6,f,t,1,t,g,42771,79,+
a,69.97,0.16,l,g,k,n,19.95,t,t,0,t,g,52335,15,+
a,36.13,28.15,u,p,j,n,3.82,t,t,1,f,p,52949,57,-
a,25.57,12.44,u,gg,cc,j,9.19,t,f,1,t,p,95558,71,-
b,56.46,12.07,y,g,aa,n,8.62,t,t,1,t,p,146312,28,+
b,43.92,11.72,l,p,ff,v,6.09,f,f,2,f,g,102272,91,-
a,21.53,2.08,l,g,w,v,3.96,t,t,0,f,s,2716,5,+
