transaction_id,user_id,amount,location,time,transaction_type,device,previous_fraud,fraud
50,46786,759.62,Las Vegas,2025-01-12 23:36:35.791333,Withdrawal,ATM,0,0
51,46146,3727.81,Miami,2020-05-08 16:08:40.187979,Purchase,Web,0,0
52,18857,9867.55,Chicago,2021-08-17 19:23:54.994934,Deposit,POS,0,1
53,19142,3799.81,Dubai,2024-06-05 21:07:26.957486,Bill Payment,Crypto Wallet,0,1
54,12083,9379.54,New York,2021-07-08 17:46:44.306963,Withdrawal,Web,0,1
55,3139,1398.91,Dubai,2023-06-26 02:55:01.852319,Bill Payment,ATM,0,0
56,15986,1544.87,New York,2023-10-14 00:51:57.148114,Purchase,POS,0,0
57,26603,812.94,Moscow,2022-06-28 12:24:04.967838,Withdrawal,Crypto Wallet,1,1
58,46944,6662.92,Tokyo,2022-01-19 07:55:29.598401,Withdrawal,Mobile,0,1
59,16172,4164.3,Chicago,2024-12-13 06:35:56.782451,Bill Payment,POS,0,0
60,2764,6801.81,Moscow,2025-03-02 10:45:36.433167,Bill Payment,Mobile,0,1
61,42144,4033.66,New York,2023-07-28 07:16:20.315861,Transfer,ATM,0,0
62,42323,5957.75,Miami,2023-08-14 08:37:05.872370,Transfer,ATM,1,1
63,8006,7069.99,Tokyo,2023-12-11 13:16:37.167863,Transfer,Mobile,0,1
64,47682,2339.73,Miami,2023-06-20 10:03:17.616407,Bill Payment,Web,0,0
65,45539,6988.63,New York,2020-10-19 05:37:23.320998,Purchase,POS,0,1
66,10803,1496.86,Tokyo,2020-05-08 15:53:47.126534,Deposit,Crypto Wallet,1,1
67,47141,5790.63,New York,2024-04-17 06:19:57.398562,Withdrawal,Web,0,1
68,1900,2953.64,Las Vegas,2021-10-19 12:30:58.223939,Deposit,POS,0,0
69,5519,3379.8,Las Vegas,2021-11-28 07:37:04.052980,Transfer,POS,0,0
70,9965,7436.71,Tokyo,2021-09-26 12:24:26.591638,Purchase,Crypto Wallet,0,1
71,22930,6068.23,Tokyo,2021-11-14 16:48:18.599630,Deposit,Mobile,0,1
72,30942,717.19,San Francisco,2020-01-29 13:41:04.450028,Purchase,Crypto Wallet,0,0
73,20760,6735.98,Dubai,2024-01-21 19:21:29.846640,Transfer,Web,0,1
74,47670,3068.57,Chicago,2021-09-23 04:29:51.264421,Deposit,Web,0,1
75,47608,5058.06,Moscow,2020-03-18 15:10:53.436998,Bill Payment,Web,0,0
76,24190,1411.42,London,2020-02-08 01:57:09.395202,Deposit,Web,0,1
77,29679,7959.65,Miami,2020-01-04 08:08:47.393598,Withdrawal,POS,0,1
78,16297,2436.67,New York,2021-02-04 04:28:49.539644,Purchase,Mobile,0,1
79,11659,5459.83,Tokyo,2021-01-18 16:51:47.159455,Purchase,ATM,0,1
80,15066,7760.84,Los Angeles,2024-07-20 22:11:49.587820,Transfer,Web,0,0
81,33072,1416.31,Dubai,2021-08-08 13:33:18.792836,Bill Payment,Mobile,0,0
82,31572,1293.11,San Francisco,2020-09-07 17:08:26.607689,Transfer,Mobile,0,0
83,32241,9197.49,Chicago,2023-08-01 04:08:31.050523,Purchase,Crypto Wallet,0,1
84,33211,8973.71,Moscow,2020-07-27 16:31:07.131052,Bill Payment,POS,0,0
85,3399,36.99,Moscow,2020-05-20 18:52:52.793078,Purchase,ATM,0,0
86,13261,1731.45,San Francisco,2023-01-23 21:22:31.749688,Deposit,POS,0,0
87,47728,4200.91,Las Vegas,2021-02-24 03:03:33.249713,Transfer,Crypto Wallet,0,1
88,47682,5144.07,Dubai,2024-03-07 03:20:12.737385,Bill Payment,Crypto Wallet,0,1
89,6801,268.49,Las Vegas,2020-05-17 14:48:30.612579,Bill Payment,Crypto Wallet,0,0
90,26034,2532.51,Las Vegas,2024-09-10 00:20:11.807755,Deposit,Crypto Wallet,0,1
91,10704,5930.7,Moscow,2021-06-20 15:20:10.144779,Bill Payment,POS,0,1
92,7181,555.28,Miami,2021-10-15 07:22:49.887515,Transfer,POS,0,0
93,40992,8318.14,Tokyo,2023-07-21 14:16:41.395369,Transfer,POS,0,1
94,1087,3831.73,Los Angeles,2021-11-06 11:52:43.373283,Withdrawal,Web,0,0
95,26908,1399.35,Miami,2021-09-14 00:33:41.637601,Bill Payment,POS,0,1
96,8587,180.19,Moscow,2021-12-03 15:03:54.114753,Withdrawal,Mobile,0,1
97,11258,7245.7,Los Angeles,2021-09-20 04:09:34.036181,Withdrawal,ATM,0,0
98,48256,3299.46,Miami,2025-01-08 19:26:08.810396,Bill Payment,Web,0,0
99,22461,5866.38,Moscow,2021-05-23 23:54:02.609072,Bill Payment,Web,0,0
100,29515,946.61,San Francisco,2020-06-30 00:54:19.674903,Deposit,Mobile,0,0
101,35746,3063.36,Miami,2023-03-25 07:47:59.832501,Deposit,Mobile,0,0
102,6942,1637.29,London,2024-07-11 22:34:48.535476,Deposit,Crypto Wallet,0,0
103,20659,1718.43,Dubai,2020-09-23 00:34:40.459548,Bill Payment,Crypto Wallet,0,1
104,46687,1903.76,New York,2022-01-15 02:58:06.288021,Withdrawal,ATM,0,1
105,49393,9464.57,San Francisco,2022-08-21 23:11:50.852559,Withdrawal,Web,1,1
106,41754,4589.25,Los Angeles,2023-04-15 14:02:38.381997,Deposit,Crypto Wallet,0,0
107,43069,389.03,London,2021-09-01 09:37:05.044957,Transfer,ATM,0,0
108,40990,4771.69,Chicago,2023-10-08 02:09:02.624750,Purchase,POS,0,1
109,32243,319.75,London,2024-10-01 10:02:09.461005,Purchase,POS,0,0
110,30834,5785.13,San Francisco,2023-04-09 20:55:05.018931,Transfer,POS,1,0
111,1530,3212.8,San Francisco,2021-04-27 11:47:10.446211,Withdrawal,Mobile,0,0
112,3314,64.53,London,2024-08-30 11:51:11.742215,Deposit,Crypto Wallet,0,0
113,12059,9881.7,Las Vegas,2024-09-04 08:21:14.003647,Deposit,Mobile,0,0
114,9407,4710.58,Miami,2024-12-25 15:55:02.402807,Transfer,ATM,0,0
115,12142,1760.49,Las Vegas,2022-03-15 10:19:59.359123,Withdrawal,ATM,0,0
116,26071,879.55,Chicago,2022-07-05 22:34:57.389203,Deposit,Web,1,1
117,25470,4776.34,Tokyo,2022-11-29 12:22:34.808104,Transfer,Mobile,0,0
118,10374,8014.74,Miami,2022-02-19 16:46:22.532385,Transfer,ATM,0,1
119,44929,7065.7,Chicago,2020-02-11 16:41:39.110373,Deposit,ATM,1,0
120,14082,4916.38,London,2024-06-10 23:05:58.146176,Purchase,ATM,0,0
121,8888,8250.24,Miami,2024-04-25 16:45:42.821735,Purchase,Mobile,0,0
122,15593,3272.67,Moscow,2025-01-28 16:42:44.672648,Withdrawal,Crypto Wallet,0,1
123,23569,2509.79,Los Angeles,2023-07-22 05:00:49.637318,Bill Payment,ATM,0,0
124,45920,2077.17,Las Vegas,2023-01-21 13:44:54.726464,Deposit,Crypto Wallet,0,0
125,23660,4817.1,Tokyo,2024-04-08 07:06:58.216343,Bill Payment,Web,0,0
126,33296,5714.89,Las Vegas,2020-04-14 15:23:05.040059,Bill Payment,Web,1,0
127,43829,1286.55,London,2022-01-28 21:07:44.740396,Withdrawal,ATM,0,0
128,25238,3715.26,Tokyo,2023-12-04 20:08:35.512899,Transfer,Web,0,0
129,18849,7606.85,Los Angeles,2021-08-12 04:54:16.171688,Purchase,Mobile,0,1
130,40527,1007.64,Tokyo,2024-02-14 17:24:22.821484,Bill Payment,ATM,0,0
131,18851,4405.26,Los Angeles,2023-07-27 23:42:47.536925,Bill Payment,Crypto Wallet,0,0
132,7327,1898.83,Chicago,2020-05-20 04:31:52.125488,Bill Payment,Web,0,1
133,46416,649.46,Los Angeles,2021-12-15 11:42:21.073649,Transfer,POS,0,0
134,44640,8035.99,Moscow,2023-09-01 00:24:23.367061,Transfer,ATM,0,1
135,44397,7244.22,Tokyo,2022-11-20 03:08:30.451405,Withdrawal,Crypto Wallet,0,0
136,17503,3874.6,Moscow,2020-04-22 12:05:18.699115,Purchase,Crypto Wallet,0,1
137,37097,1601.75,New York,2022-04-10 20:35:32.849234,Deposit,Mobile,0,0
138,21490,3603.04,Moscow,2022-06-05 02:33:00.967079,Bill Payment,Web,0,1
139,4748,1512.34,Moscow,2020-12-11 16:35:01.502545,Purchase,Crypto Wallet,0,1
140,44866,3464.12,Dubai,2022-12-08 12:56:54.680974,Purchase,POS,0,1
141,14062,1288.13,San Francisco,2022-08-26 07:59:50.145350,Deposit,ATM,0,0
142,38242,2742.55,San Francisco,2022-01-26 09:38:42.254269,Withdrawal,POS,0,0
143,44057,8196.26,San Francisco,2020-01-03 23:38:21.267764,Withdrawal,Web,0,1
144,7125,2626.83,Los Angeles,2021-11-01 10:03:58.011729,Withdrawal,Mobile,0,0
145,20195,906.54,Miami,2021-12-31 06:39:34.542880,Deposit,ATM,0,0
146,2291,1798.48,Miami,2020-11-23 11:57:10.135334,Purchase,Crypto Wallet,0,0
147,49718,6102.65,Moscow,2022-10-18 14:20:02.437716,Purchase,Crypto Wallet,0,1
148,47099,4900.25,Las Vegas,2024-09-25 15:28:22.889306,Transfer,Mobile,0,0
149,36791,1742.81,Chicago,2022-12-26 09:25:23.427713,Transfer,POS,0,0
150,35928,4457.11,Miami,2020-10-08 20:23:01.836804,Bill Payment,Mobile,0,0
151,40744,8882.45,Tokyo,2022-07-01 02:53:32.765851,Deposit,Web,0,1
152,43489,2267.68,London,2021-07-11 09:58:57.389148,Withdrawal,Crypto Wallet,1,0
153,3942,9858.65,New York,2024-03-09 02:00:28.666974,Purchase,Crypto Wallet,0,0
154,48846,9027.92,Miami,2024-10-25 22:55:12.447038,Purchase,Crypto Wallet,1,1
155,8896,9321.86,Miami,2024-09-15 06:30:07.899736,Transfer,POS,0,1
156,33651,1665.02,New York,2021-01-20 13:11:52.810568,Purchase,Web,0,0
157,16041,5518.27,Las Vegas,2020-10-06 20:53:49.673242,Deposit,Mobile,0,0
158,41583,1468.88,Las Vegas,2022-12-06 21:04:01.341737,Purchase,Web,0,0
159,45896,2893.2,Las Vegas,2024-08-07 22:14:14.382742,Withdrawal,Web,0,0
160,47047,7536.35,Las Vegas,2024-05-31 22:52:10.759835,Withdrawal,Mobile,0,1
161,11647,2531.7,Moscow,2022-10-16 13:33:58.799899,Purchase,POS,0,1
162,36366,2956.0,Moscow,2023-07-31 02:02:29.284034,Transfer,Mobile,0,1
163,19434,1665.63,Dubai,2024-09-02 13:02:20.581665,Transfer,Mobile,0,0
164,39459,2448.94,Las Vegas,2024-03-16 16:01:22.930679,Deposit,Crypto Wallet,0,0
165,25908,9429.05,London,2020-10-11 07:37:51.912534,Withdrawal,Crypto Wallet,1,1
166,35307,1340.62,London,2021-01-13 05:41:59.240438,Withdrawal,POS,0,0
167,44307,403.24,Los Angeles,2023-08-02 19:25:30.281327,Bill Payment,Web,0,0
168,16519,5105.41,Las Vegas,2021-06-03 17:36:19.238096,Transfer,Web,0,1
169,24256,8658.6,Las Vegas,2023-04-03 19:11:56.372654,Purchase,Crypto Wallet,0,1
170,30911,4146.87,Las Vegas,2021-06-09 13:19:23.421589,Purchase,POS,1,1
171,1707,1415.53,New York,2023-05-13 13:41:50.919616,Transfer,ATM,0,0
172,33207,3575.95,New York,2020-06-14 09:07:43.208473,Withdrawal,POS,0,0
173,1860,9056.82,Dubai,2023-04-11 19:13:47.251537,Transfer,Crypto Wallet,0,1
174,14052,836.35,Los Angeles,2022-08-13 22:46:56.012286,Withdrawal,ATM,0,0
175,26241,8191.79,Miami,2023-01-18 23:36:34.933563,Bill Payment,Mobile,0,1
176,12554,9587.16,Moscow,2020-10-14 17:24:15.273124,Purchase,Mobile,0,1
177,43403,1506.64,Moscow,2023-02-26 13:42:47.086205,Transfer,Web,0,0
178,27094,5486.16,London,2021-01-29 16:16:26.524591,Withdrawal,ATM,0,0
179,48944,6784.36,Los Angeles,2020-01-17 11:49:57.911432,Deposit,ATM,0,0
180,37830,8626.2,Dubai,2021-09-29 11:15:14.736440,Purchase,ATM,0,1
181,26186,5182.99,Las Vegas,2020-05-23 06:44:56.554590,Deposit,ATM,0,1
182,24947,2717.53,New York,2023-12-07 04:32:52.186782,Deposit,POS,0,1
183,6232,5758.49,Los Angeles,2021-01-04 06:26:43.482991,Transfer,Crypto Wallet,0,1
184,36113,4523.17,London,2021-01-30 07:43:13.716451,Withdrawal,ATM,0,0
185,47070,7910.8,London,2022-05-25 17:40:21.200236,Bill Payment,Web,0,0
186,49400,5058.99,New York,2023-10-14 04:20:43.449776,Purchase,POS,0,0
187,24380,2168.16,Tokyo,2024-11-06 09:20:22.101241,Purchase,Mobile,0,0
188,35747,4633.74,New York,2025-02-08 21:14:03.624526,Bill Payment,Web,0,0
189,23916,1538.25,Tokyo,2023-01-17 01:59:55.159596,Deposit,Crypto Wallet,0,1
190,1952,8980.18,Las Vegas,2020-05-18 12:57:06.768033,Withdrawal,Web,0,0
191,5247,4051.54,Dubai,2024-04-21 16:32:21.155887,Deposit,Mobile,0,1
192,26528,3198.24,Moscow,2022-03-31 16:46:11.549817,Bill Payment,ATM,0,1
193,38078,1044.02,New York,2021-10-17 12:33:47.776882,Transfer,Web,0,0
194,8796,4618.07,San Francisco,2020-11-01 19:15:12.474583,Purchase,POS,0,0
195,10426,8014.23,Moscow,2023-08-04 10:31:01.065989,Transfer,ATM,0,0
196,21605,6295.39,New York,2022-05-17 19:58:15.444156,Withdrawal,Crypto Wallet,0,1
197,26827,8576.87,Moscow,2024-05-25 09:20:49.268581,Transfer,Crypto Wallet,0,0
198,27995,8073.32,London,2021-07-11 19:00:25.059159,Bill Payment,ATM,0,1
199,43690,4052.15,New York,2022-06-06 11:08:10.819808,Withdrawal,ATM,0,0
200,25985,9018.93,Miami,2022-04-14 06:15:14.018783,Bill Payment,Crypto Wallet,0,1
201,35131,4262.75,Miami,2023-12-20 07:45:39.658846,Deposit,POS,0,0
202,21435,6766.95,Miami,2020-12-17 21:35:54.815352,Withdrawal,ATM,0,0
203,11744,572.26,San Francisco,2024-11-19 15:21:15.887925,Deposit,ATM,0,0
204,15849,4626.43,London,2021-06-25 19:04:26.174265,Bill Payment,Crypto Wallet,0,0
205,34781,3709.87,Dubai,2024-12-18 13:08:44.007282,Bill Payment,Mobile,0,0
206,45210,4271.45,Miami,2022-08-30 17:11:02.470256,Bill Payment,ATM,0,0
207,2998,9655.69,Las Vegas,2022-06-15 11:25:06.884461,Deposit,ATM,0,1
208,1063,111.88,Dubai,2022-07-12 12:24:06.630883,Withdrawal,ATM,0,1
209,15199,5830.37,London,2021-10-04 14:17:42.047770,Deposit,ATM,0,1
210,10101,9299.36,Tokyo,2023-10-23 22:15:18.906241,Withdrawal,POS,0,0
211,17477,3816.15,London,2024-09-23 03:59:39.373315,Bill Payment,ATM,0,1
212,48693,9547.71,Moscow,2022-02-13 13:58:18.092965,Transfer,Web,0,1
213,32269,9009.6,Moscow,2023-05-31 18:01:46.359696,Withdrawal,Crypto Wallet,0,1
214,48261,8612.59,San Francisco,2020-12-08 07:22:55.824500,Withdrawal,POS,0,0
215,32766,8718.06,London,2021-07-14 17:01:29.137170,Purchase,Crypto Wallet,0,0
216,2733,5483.87,Los Angeles,2023-09-04 14:06:43.000601,Purchase,POS,0,0
217,43519,4662.33,Los Angeles,2021-12-11 15:42:02.199027,Bill Payment,Web,0,0
218,5400,7466.24,Las Vegas,2024-04-29 19:01:04.528176,Deposit,ATM,0,1
219,39481,5599.49,Tokyo,2025-01-03 19:05:38.530702,Bill Payment,Mobile,0,1
220,40370,6783.52,Dubai,2023-03-15 22:43:56.866542,Bill Payment,ATM,0,0
221,40202,4949.48,Tokyo,2021-04-17 08:09:48.904824,Transfer,Mobile,0,0
222,14365,8562.51,London,2020-11-25 04:06:34.637313,Deposit,ATM,0,1
223,32421,9859.35,Chicago,2023-04-27 14:30:26.649802,Purchase,POS,0,0
224,18048,7847.17,Moscow,2021-07-17 16:33:14.705003,Bill Payment,Crypto Wallet,0,1
225,27274,3743.6,London,2024-10-20 13:13:30.523813,Bill Payment,Crypto Wallet,0,0
226,48648,9834.25,New York,2021-12-16 19:15:49.088640,Withdrawal,Crypto Wallet,0,0
227,45687,7851.5,Dubai,2023-04-02 13:22:33.862875,Purchase,Web,0,1
228,2063,9279.15,Dubai,2024-09-14 04:39:15.747839,Deposit,Crypto Wallet,0,1
229,34735,7985.06,San Francisco,2025-02-12 04:47:30.026382,Purchase,ATM,0,1
230,16460,5867.5,Dubai,2021-12-19 12:09:46.633881,Deposit,Crypto Wallet,0,1
231,30781,7697.11,Moscow,2022-08-24 12:11:19.075790,Transfer,Web,0,0
232,40870,1532.47,Los Angeles,2021-04-21 04:40:52.225227,Purchase,Mobile,0,1
233,39931,629.74,Dubai,2023-07-16 19:25:55.507997,Deposit,POS,0,1
234,28174,775.71,Tokyo,2023-08-31 14:49:11.523984,Transfer,Mobile,0,0
235,38759,9349.81,Moscow,2022-02-25 10:57:58.418482,Purchase,POS,0,1
236,31788,5458.49,New York,2024-07-29 07:35:11.269815,Purchase,Web,0,1
237,29542,1229.62,Las Vegas,2024-05-29 04:29:50.243783,Purchase,Mobile,0,1
238,30819,865.07,Las Vegas,2021-02-22 07:05:40.310804,Bill Payment,ATM,0,0
239,37698,9900.43,Moscow,2020-12-25 10:39:21.989249,Transfer,Crypto Wallet,0,1
240,24356,305.5,Los Angeles,2020-12-21 22:51:18.594330,Withdrawal,Mobile,0,0
241,15187,6810.81,Las Vegas,2020-04-23 04:02:08.080628,Purchase,Mobile,0,0
242,30359,7682.73,Moscow,2020-07-22 17:50:13.020452,Bill Payment,Web,0,1
243,18219,9798.51,Dubai,2024-02-26 18:01:20.651384,Deposit,Crypto Wallet,0,1
244,4622,6918.29,San Francisco,2024-09-05 12:28:58.766486,Purchase,Crypto Wallet,0,1
245,31890,273.28,San Francisco,2024-08-27 16:36:38.409808,Withdrawal,ATM,0,0
246,45920,7313.59,Chicago,2020-09-17 09:39:13.765501,Withdrawal,Web,0,1
247,28815,9763.77,Las Vegas,2022-07-26 15:37:48.859852,Transfer,Web,0,1
248,36126,2717.22,Los Angeles,2024-07-17 13:24:40.317786,Bill Payment,Web,0,0
249,27498,7896.13,Moscow,2020-09-10 01:55:56.340166,Bill Payment,Crypto Wallet,0,1
250,31014,1175.53,Moscow,2021-12-24 06:14:36.550110,Withdrawal,Mobile,0,1
251,42746,6247.96,Moscow,2020-08-14 06:05:21.100744,Deposit,Mobile,0,1
252,32188,9024.1,Moscow,2025-02-14 13:50:55.388200,Bill Payment,ATM,0,1
253,17937,8241.04,Dubai,2021-03-31 04:22:34.749888,Transfer,ATM,0,1
254,16641,3366.27,New York,2022-10-31 15:33:20.434606,Bill Payment,POS,0,0
255,40560,9543.03,London,2024-03-01 04:17:26.298179,Purchase,ATM,0,0
256,40186,5180.54,San Francisco,2023-09-23 17:21:40.443988,Purchase,Web,0,1
257,21168,8516.38,Miami,2024-06-04 14:25:52.795331,Transfer,Crypto Wallet,0,0
258,20960,5132.7,Moscow,2020-09-15 19:11:34.621532,Bill Payment,ATM,0,1
259,4088,4604.25,Los Angeles,2022-05-11 05:10:40.037351,Withdrawal,Web,0,0
260,16887,7004.31,Moscow,2023-04-21 08:51:36.560050,Withdrawal,Crypto Wallet,0,0
261,16144,2826.29,Dubai,2023-11-02 07:39:48.238421,Purchase,Crypto Wallet,0,1
262,43501,958.02,New York,2022-06-06 14:24:13.978493,Transfer,Crypto Wallet,0,0
263,38533,4516.15,Chicago,2024-05-19 02:07:36.617465,Deposit,ATM,0,1
264,20654,814.31,Miami,2022-02-18 06:46:46.080236,Transfer,Crypto Wallet,0,0
265,47721,1341.09,New York,2022-12-27 15:19:40.957070,Deposit,Web,0,0
266,17377,1029.04,London,2020-11-11 04:43:01.726511,Transfer,Crypto Wallet,0,1
267,8744,5799.94,London,2022-05-10 12:36:11.897802,Deposit,Crypto Wallet,0,0
268,21424,5189.01,Tokyo,2023-04-19 19:04:26.449266,Deposit,POS,0,1
269,17594,4936.93,Las Vegas,2022-10-27 01:44:13.035489,Deposit,Web,0,1
270,46690,1472.44,Miami,2023-11-04 21:54:58.926146,Withdrawal,ATM,0,0
271,48998,555.25,Tokyo,2022-03-02 04:45:14.929589,Bill Payment,ATM,0,1
272,49708,5835.76,London,2020-03-07 15:17:58.136178,Withdrawal,Crypto Wallet,0,1
273,29983,8898.1,New York,2020-01-14 01:42:00.317426,Purchase,ATM,0,1
274,35516,3169.0,Chicago,2023-08-17 00:14:00.779277,Deposit,Web,1,1
275,30406,6315.02,Dubai,2020-08-18 10:13:01.101784,Withdrawal,Crypto Wallet,0,1
276,17766,7870.32,Tokyo,2022-01-11 05:19:40.505887,Transfer,ATM,0,1
277,2262,800.07,Moscow,2023-08-03 20:02:37.866623,Transfer,Crypto Wallet,0,0
278,14270,8111.15,Moscow,2025-01-18 14:23:27.306188,Transfer,POS,0,1
279,44377,691.72,New York,2022-09-30 07:30:24.950511,Purchase,Mobile,0,0
280,43734,6022.01,Las Vegas,2020-01-26 08:33:11.087306,Bill Payment,Mobile,0,1
281,2382,5210.08,New York,2022-05-06 22:30:17.060462,Bill Payment,POS,0,1
282,47810,2844.0,London,2020-11-15 02:11:23.602448,Transfer,Web,0,0
283,44525,2411.71,Moscow,2024-02-05 13:16:06.463400,Withdrawal,Mobile,0,1
284,6614,2062.04,Miami,2021-07-09 11:11:18.371690,Bill Payment,Mobile,0,0
285,48887,6408.23,London,2024-11-13 11:59:09.086007,Bill Payment,Crypto Wallet,0,1
286,20077,640.37,Tokyo,2024-04-01 16:58:49.491281,Withdrawal,Mobile,0,0
287,44799,6500.92,Moscow,2020-05-17 12:48:43.450255,Bill Payment,POS,0,1
288,14679,9789.03,Miami,2024-02-29 11:52:59.533845,Deposit,Crypto Wallet,0,1
289,42640,5238.7,London,2020-07-27 04:23:48.443602,Deposit,Web,0,1
290,20391,7459.1,Tokyo,2021-01-16 20:26:22.199017,Withdrawal,Web,0,0
291,33919,4473.28,New York,2021-08-01 03:53:32.815393,Withdrawal,Crypto Wallet,0,1
292,43262,5329.78,Dubai,2020-08-20 00:12:48.926823,Deposit,Web,0,0
293,15007,1067.89,Moscow,2022-07-22 23:50:10.965439,Purchase,Crypto Wallet,0,0
294,30741,2238.55,New York,2024-01-25 19:34:33.567145,Purchase,Web,0,0
295,3442,7219.46,Los Angeles,2022-03-07 02:39:50.595725,Withdrawal,Crypto Wallet,0,1
296,46869,146.19,Las Vegas,2024-01-26 13:33:50.033068,Purchase,POS,0,0
297,45337,3596.33,San Francisco,2022-06-16 22:19:09.523847,Transfer,Crypto Wallet,0,0
298,45889,770.68,London,2021-07-07 04:10:08.227481,Withdrawal,Crypto Wallet,0,1
299,9758,2814.97,Los Angeles,2020-05-17 21:29:11.353880,Bill Payment,Mobile,0,0
300,46987,7435.73,Los Angeles,2023-08-16 15:38:20.872077,Bill Payment,Web,0,0
301,8790,3316.65,New York,2024-02-01 03:52:03.177654,Bill Payment,Crypto Wallet,0,1
302,40556,2160.56,Tokyo,2022-05-02 09:27:39.982175,Purchase,Crypto Wallet,0,0
303,44895,7319.95,Las Vegas,2021-12-16 15:39:01.511276,Deposit,ATM,0,0
304,7582,6234.83,New York,2022-12-06 19:57:56.069304,Transfer,Mobile,0,1
