Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
CUST1017,48.64,Male,Laptop,Books,497.04,Houston,L,Black,Winter,4.0,No,Express,No,No,47.0,PayPal,Monthly
CUST1018,60.09,Female,T-shirt,Apparel,544.56,Phoenix,L,Red,Fall,4.1,No,Standard,No,Yes,31.0,Credit Card,Quarterly
CUST1019,18.34,Male,Book,Accessories,363.53,Phoenix,M,Blue,Summer,2.7,Yes,Overnight,No,Yes,10.0,Cash,Quarterly
CUST1020,59.9,Female,Smartphone,Books,434.55,New York,S,Red,Winter,2.0,Yes,Standard,Yes,Yes,46.0,PayPal,Monthly
CUST1021,54.3,Female,Shoes,Apparel,604.14,New York,L,Black,Spring,4.5,No,Express,Yes,No,47.0,Debit Card,Weekly
CUST1022,35.69,Male,T-shirt,Books,885.35,Houston,L,Black,Spring,4.5,Yes,Express,No,No,8.0,Credit Card,Quarterly
CUST1023,26.08,Female,Book,Books,336.14,Phoenix,S,Red,Fall,4.2,No,Overnight,No,Yes,47.0,Cash,Quarterly
CUST1024,67.78,Female,Laptop,Electronics,361.88,Houston,M,Blue,Summer,4.0,Yes,Overnight,Yes,No,37.0,Debit Card,Monthly
CUST1025,35.5,Female,Book,Books,469.22,Phoenix,M,Green,Summer,3.2,Yes,Express,Yes,No,9.0,Cash,Weekly
CUST1026,22.82,Male,Laptop,Books,754.93,New York,M,Red,Fall,2.2,No,Express,No,Yes,44.0,Credit Card,Monthly
CUST1027,23.03,Female,T-shirt,Accessories,862.49,New York,L,Black,Winter,3.8,No,Standard,No,Yes,47.0,Credit Card,Quarterly
CUST1028,62.07,Female,Smartphone,Electronics,168.45,Phoenix,M,Blue,Spring,1.7,Yes,Express,No,Yes,13.0,PayPal,Monthly
CUST1029,49.39,Male,Bag,Apparel,47.54,Houston,M,Black,Spring,1.7,No,Express,No,No,16.0,PayPal,Weekly
CUST1030,59.97,Female,Shoes,Books,508.82,Houston,M,Blue,Winter,4.1,No,Overnight,Yes,Yes,14.0,Cash,Monthly
CUST1031,55.95,Female,Smartphone,Apparel,860.41,Houston,M,Red,Spring,2.7,Yes,Express,Yes,No,19.0,Debit Card,Monthly
CUST1032,45.88,Female,Headphones,Accessories,626.94,Chicago,S,Blue,Fall,2.9,Yes,Standard,No,No,21.0,Credit Card,Quarterly
CUST1033,68.6,Female,Shoes,Footwear,600.8,New York,M,White,Summer,1.6,Yes,Express,No,Yes,32.0,PayPal,Quarterly
CUST1034,37.68,Female,T-shirt,Footwear,542.51,Los Angeles,M,Green,Winter,4.3,Yes,Express,No,Yes,38.0,Cash,Quarterly
CUST1035,46.71,Male,T-shirt,Electronics,832.85,Houston,L,Black,Spring,2.2,Yes,Overnight,No,No,31.0,Cash,Quarterly
CUST1036,61.13,Male,Laptop,Footwear,163.63,Phoenix,S,Blue,Fall,4.4,Yes,Standard,No,No,22.0,Credit Card,Monthly
CUST1037,50.16,Female,Book,Books,799.74,Chicago,S,Blue,Summer,2.0,No,Overnight,No,No,33.0,Debit Card,Weekly
CUST1038,62.81,Male,Shoes,Apparel,143.82,Los Angeles,M,White,Winter,3.6,Yes,Express,Yes,Yes,19.0,Cash,Monthly
CUST1039,48.02,Male,Bag,Electronics,817.18,Los Angeles,L,Green,Winter,1.8,No,Standard,No,No,31.0,PayPal,Monthly
CUST1040,54.64,Male,Headphones,Electronics,209.78,Los Angeles,L,Black,Fall,3.7,No,Overnight,No,Yes,46.0,Credit Card,Weekly
CUST1041,20.38,Female,Book,Apparel,694.75,Phoenix,L,Blue,Winter,1.7,No,Express,Yes,Yes,19.0,Cash,Monthly
CUST1042,29.85,Male,T-shirt,Accessories,86.33,Chicago,S,Red,Spring,3.0,No,Express,Yes,No,26.0,PayPal,Weekly
CUST1043,33.05,Male,Smartphone,Apparel,421.88,Chicago,S,Red,Spring,4.3,Yes,Overnight,No,Yes,35.0,PayPal,Monthly
CUST1044,22.15,Male,Headphones,Electronics,116.32,Phoenix,M,Red,Fall,2.6,No,Standard,Yes,No,0.0,PayPal,Weekly
CUST1045,30.11,Male,Bag,Books,503.88,Chicago,L,Blue,Fall,2.8,No,Overnight,Yes,No,39.0,Debit Card,Monthly
CUST1046,23.25,Female,Bag,Accessories,46.77,Los Angeles,L,Blue,Summer,4.1,No,Overnight,No,Yes,35.0,Cash,Weekly
CUST1047,32.45,Male,Headphones,Accessories,108.3,New York,L,Black,Spring,2.3,Yes,Standard,Yes,Yes,10.0,Cash,Quarterly
CUST1048,51.06,Male,Laptop,Apparel,9.02,New York,S,Green,Winter,1.4,No,Overnight,No,No,7.0,Credit Card,Monthly
CUST1049,36.97,Female,Shoes,Apparel,934.83,Houston,M,Red,Winter,3.8,Yes,Express,Yes,No,31.0,Cash,Weekly
CUST1050,37.25,Female,T-shirt,Electronics,666.31,Houston,XL,Black,Summer,2.9,Yes,Standard,No,Yes,28.0,Cash,Monthly
CUST1051,28.89,Male,Headphones,Apparel,168.88,Houston,L,Blue,Fall,4.3,No,Standard,No,No,40.0,Credit Card,Weekly
CUST1052,31.88,Female,Shoes,Apparel,230.65,Houston,M,White,Fall,2.2,Yes,Express,No,No,36.0,Cash,Weekly
CUST1053,66.71,Female,Smartphone,Apparel,711.2,Los Angeles,M,Black,Spring,3.4,Yes,Standard,No,Yes,47.0,PayPal,Quarterly
CUST1054,51.7,Female,Smartphone,Electronics,338.23,Chicago,M,Blue,Winter,1.7,Yes,Standard,No,Yes,41.0,Credit Card,Quarterly
CUST1055,49.67,Male,Book,Books,121.34,Chicago,M,White,Winter,2.6,No,Express,Yes,Yes,41.0,Credit Card,Monthly
CUST1056,26.9,Male,Smartphone,Electronics,733.2,New York,M,Black,Winter,2.8,No,Overnight,No,No,0.0,Cash,Quarterly
CUST1057,55.91,Female,Bag,Footwear,797.93,Los Angeles,L,Blue,Winter,1.4,No,Overnight,Yes,Yes,32.0,PayPal,Monthly
CUST1058,26.5,Male,Smartphone,Apparel,550.71,Los Angeles,M,Green,Fall,4.7,Yes,Overnight,No,Yes,21.0,PayPal,Quarterly
CUST1059,37.73,Male,Laptop,Footwear,397.99,Chicago,XL,White,Summer,2.0,Yes,Express,Yes,No,43.0,Cash,Weekly
CUST1060,69.46,Male,Shoes,Footwear,658.61,New York,M,White,Summer,4.3,Yes,Standard,No,No,6.0,Debit Card,Monthly
CUST1061,51.28,Male,Laptop,Accessories,395.84,New York,XL,Blue,Fall,1.9,Yes,Express,No,No,28.0,Debit Card,Monthly
CUST1062,46.96,Male,Smartphone,Electronics,579.13,Houston,M,Black,Winter,4.2,Yes,Overnight,No,No,4.0,Credit Card,Quarterly
CUST1063,53.6,Male,Bag,Footwear,751.08,Los Angeles,S,Red,Spring,3.5,Yes,Express,No,Yes,43.0,Cash,Weekly
CUST1064,61.83,Male,Smartphone,Electronics,689.36,Houston,S,Red,Summer,2.3,No,Overnight,Yes,No,14.0,Cash,Monthly
CUST1065,58.35,Male,Shoes,Accessories,988.01,Chicago,L,Green,Spring,1.4,No,Express,No,Yes,5.0,PayPal,Monthly
CUST1066,29.91,Male,Bag,Books,229.69,Chicago,M,Black,Fall,2.3,Yes,Standard,No,No,27.0,PayPal,Quarterly
CUST1067,19.67,Male,Smartphone,Books,645.68,Los Angeles,S,White,Winter,4.2,No,Express,Yes,Yes,6.0,PayPal,Weekly
CUST1068,34.4,Female,Book,Apparel,159.92,Houston,M,Blue,Fall,2.6,Yes,Standard,Yes,No,37.0,Cash,Monthly
CUST1069,31.92,Male,T-shirt,Apparel,695.47,Los Angeles,L,Green,Summer,3.6,No,Express,No,No,18.0,PayPal,Quarterly
CUST1070,28.97,Female,Shoes,Apparel,754.55,Chicago,L,Blue,Winter,1.8,Yes,Standard,No,Yes,48.0,Cash,Quarterly
CUST1071,67.03,Male,T-shirt,Footwear,717.62,New York,S,Green,Winter,2.1,Yes,Express,No,Yes,49.0,Cash,Weekly
CUST1072,63.57,Female,Headphones,Accessories,893.72,Houston,M,Black,Summer,4.8,Yes,Overnight,Yes,No,37.0,Credit Card,Quarterly
CUST1073,34.36,Male,Headphones,Electronics,969.43,Phoenix,S,Black,Fall,3.5,Yes,Overnight,No,Yes,40.0,Cash,Quarterly
CUST1074,52.08,Male,Book,Books,800.94,Chicago,XL,Black,Summer,4.2,Yes,Overnight,No,No,27.0,Credit Card,Monthly
CUST1075,38.57,Female,Book,Footwear,497.73,Los Angeles,L,Black,Fall,3.3,No,Overnight,Yes,Yes,29.0,PayPal,Quarterly
CUST1076,65.56,Female,Headphones,Electronics,916.26,Phoenix,XL,Red,Fall,1.0,No,Standard,No,No,16.0,PayPal,Weekly
CUST1077,41.86,Female,Smartphone,Books,696.46,New York,L,Black,Summer,3.2,Yes,Express,No,No,35.0,Debit Card,Weekly
CUST1078,31.77,Male,Smartphone,Footwear,310.02,Los Angeles,M,White,Fall,3.3,No,Standard,Yes,Yes,20.0,PayPal,Monthly
CUST1079,30.82,Male,Laptop,Footwear,757.02,Phoenix,S,Red,Summer,2.5,Yes,Standard,Yes,Yes,41.0,PayPal,Monthly
CUST1080,47.19,Female,Headphones,Accessories,306.34,Los Angeles,S,Green,Summer,4.1,No,Express,Yes,No,26.0,Cash,Quarterly
CUST1081,31.66,Male,Headphones,Footwear,213.2,Los Angeles,M,Red,Winter,3.4,Yes,Express,No,No,9.0,PayPal,Monthly
CUST1082,48.4,Male,Smartphone,Electronics,640.06,Los Angeles,M,Green,Fall,2.6,Yes,Overnight,No,No,8.0,Debit Card,Quarterly
CUST1083,64.69,Female,T-shirt,Accessories,951.79,Chicago,XL,Blue,Winter,3.7,No,Overnight,Yes,Yes,25.0,Debit Card,Quarterly
CUST1084,38.77,Male,Laptop,Footwear,195.05,Chicago,XL,Black,Spring,4.2,No,Standard,Yes,No,28.0,Cash,Weekly
CUST1085,29.4,Female,T-shirt,Footwear,21.14,New York,M,Red,Fall,1.3,Yes,Express,No,No,36.0,PayPal,Weekly
CUST1086,69.87,Female,Headphones,Accessories,299.31,New York,S,Red,Winter,4.6,Yes,Overnight,Yes,Yes,4.0,PayPal,Monthly
CUST1087,44.5,Male,Bag,Accessories,211.05,New York,XL,White,Winter,3.6,Yes,Standard,Yes,Yes,39.0,Credit Card,Monthly
CUST1088,22.73,Male,T-shirt,Apparel,828.52,New York,XL,Black,Winter,3.2,Yes,Standard,Yes,Yes,38.0,Credit Card,Weekly
CUST1089,20.45,Female,Shoes,Apparel,682.08,Phoenix,L,Black,Fall,4.4,No,Express,No,Yes,28.0,PayPal,Quarterly
CUST1090,23.7,Female,Laptop,Footwear,71.69,New York,L,Black,Fall,3.3,No,Overnight,No,No,19.0,Cash,Quarterly
CUST1091,50.63,Male,Smartphone,Books,455.34,Houston,L,Black,Winter,4.2,No,Standard,Yes,No,3.0,PayPal,Weekly
CUST1092,59.19,Male,Book,Accessories,123.36,New York,M,Blue,Winter,2.0,No,Express,Yes,Yes,47.0,Debit Card,Monthly
CUST1093,39.95,Male,Bag,Books,945.15,Chicago,S,White,Fall,4.1,No,Standard,No,No,31.0,Cash,Weekly
CUST1094,21.3,Male,Laptop,Footwear,663.28,Los Angeles,S,Red,Fall,3.5,Yes,Express,No,No,31.0,Cash,Quarterly
CUST1095,37.84,Female,Headphones,Apparel,15.52,New York,XL,White,Spring,4.5,No,Express,No,Yes,9.0,Credit Card,Monthly
CUST1096,69.8,Male,T-shirt,Electronics,599.57,Phoenix,M,Blue,Fall,1.5,Yes,Overnight,No,No,37.0,Credit Card,Quarterly
CUST1097,45.51,Male,T-shirt,Electronics,346.45,Phoenix,L,White,Summer,2.5,No,Express,Yes,No,48.0,PayPal,Monthly
CUST1098,68.5,Male,Laptop,Accessories,378.04,Houston,S,Blue,Summer,3.0,Yes,Standard,No,Yes,23.0,Cash,Monthly
CUST1099,62.76,Female,Shoes,Electronics,307.27,Phoenix,M,Green,Spring,1.7,Yes,Overnight,No,Yes,30.0,Debit Card,Monthly
CUST1100,18.6,Male,Book,Footwear,621.16,Chicago,XL,Red,Spring,1.2,No,Standard,Yes,No,46.0,Cash,Monthly
CUST1101,55.48,Male,Shoes,Accessories,919.96,Los Angeles,L,White,Winter,2.9,Yes,Overnight,Yes,Yes,25.0,Cash,Weekly
CUST1102,53.45,Male,Laptop,Electronics,637.04,New York,S,White,Fall,1.9,Yes,Overnight,Yes,No,40.0,Credit Card,Quarterly
CUST1103,45.92,Female,Laptop,Apparel,595.37,Los Angeles,M,Blue,Winter,3.8,No,Overnight,Yes,Yes,2.0,Credit Card,Monthly
CUST1104,31.87,Male,Book,Footwear,680.72,New York,M,Blue,Winter,4.1,Yes,Express,Yes,Yes,28.0,PayPal,Quarterly
CUST1105,51.33,Male,Laptop,Electronics,977.13,New York,XL,White,Winter,1.2,No,Express,No,Yes,10.0,Debit Card,Quarterly
CUST1106,23.8,Female,Smartphone,Apparel,502.49,Houston,XL,Black,Fall,2.5,No,Express,No,Yes,41.0,Cash,Quarterly
CUST1107,40.61,Female,T-shirt,Electronics,354.74,Houston,S,White,Winter,3.8,No,Overnight,No,No,44.0,Debit Card,Weekly
CUST1108,41.59,Female,Laptop,Books,259.5,Houston,M,Red,Fall,1.8,Yes,Standard,No,No,11.0,Credit Card,Quarterly
CUST1109,67.6,Male,Smartphone,Books,476.23,Los Angeles,S,Blue,Winter,2.7,Yes,Overnight,No,No,37.0,Credit Card,Monthly
CUST1110,63.54,Female,Headphones,Apparel,798.84,Los Angeles,XL,Red,Winter,4.7,Yes,Standard,No,No,48.0,PayPal,Monthly
CUST1111,31.7,Male,Book,Apparel,754.15,Phoenix,L,Black,Summer,3.8,Yes,Express,Yes,No,37.0,PayPal,Weekly
CUST1112,44.03,Female,Smartphone,Books,770.94,New York,M,White,Winter,5.0,No,Express,Yes,No,41.0,Cash,Monthly
CUST1113,27.29,Female,Shoes,Apparel,425.59,Chicago,XL,Black,Spring,4.9,Yes,Standard,No,No,48.0,Debit Card,Weekly
CUST1114,65.46,Female,Laptop,Footwear,589.19,Chicago,M,White,Winter,3.0,Yes,Express,No,No,37.0,Credit Card,Monthly
CUST1115,63.27,Male,Shoes,Footwear,881.23,Houston,XL,Blue,Summer,2.0,Yes,Standard,Yes,Yes,4.0,Cash,Monthly
CUST1116,33.52,Female,Shoes,Accessories,949.38,Chicago,L,White,Summer,4.7,No,Express,No,Yes,2.0,PayPal,Monthly
CUST1117,51.23,Male,Smartphone,Books,686.42,Phoenix,XL,Black,Summer,4.1,Yes,Standard,Yes,Yes,23.0,Cash,Quarterly
CUST1118,49.67,Female,Bag,Footwear,994.67,Phoenix,L,Red,Winter,2.3,Yes,Standard,No,No,1.0,Credit Card,Quarterly
CUST1119,25.95,Female,Bag,Apparel,383.07,Phoenix,M,Blue,Summer,2.5,No,Express,No,No,42.0,Cash,Weekly
CUST1120,57.65,Male,T-shirt,Apparel,962.95,Houston,XL,White,Summer,4.2,No,Express,No,Yes,7.0,Cash,Quarterly
CUST1121,46.05,Male,Headphones,Footwear,760.25,Chicago,L,Red,Fall,4.6,Yes,Standard,No,Yes,12.0,PayPal,Quarterly
CUST1122,58.49,Female,Bag,Accessories,91.39,Phoenix,XL,Green,Fall,3.7,Yes,Standard,Yes,No,26.0,Debit Card,Monthly
CUST1123,45.58,Female,Book,Books,255.9,Los Angeles,S,Black,Summer,2.8,Yes,Overnight,No,No,41.0,Debit Card,Monthly
CUST1124,18.03,Female,Smartphone,Books,96.59,New York,M,Green,Spring,2.6,No,Express,Yes,No,18.0,Debit Card,Quarterly
CUST1125,34.86,Male,Bag,Apparel,249.16,Los Angeles,S,Red,Spring,4.3,Yes,Express,Yes,Yes,29.0,Cash,Weekly
CUST1126,19.01,Male,Shoes,Books,831.48,Phoenix,XL,Green,Spring,4.7,No,Standard,No,No,17.0,PayPal,Monthly
CUST1127,66.31,Male,Bag,Books,633.14,Phoenix,S,White,Summer,4.9,No,Overnight,Yes,No,44.0,PayPal,Weekly
CUST1128,63.69,Male,T-shirt,Books,98.54,Houston,XL,White,Fall,4.3,Yes,Overnight,Yes,Yes,5.0,Debit Card,Monthly
CUST1129,61.25,Male,Laptop,Apparel,382.95,Chicago,M,Blue,Summer,2.8,No,Overnight,Yes,No,34.0,Debit Card,Weekly
CUST1130,33.99,Female,Bag,Electronics,340.7,Los Angeles,S,Red,Summer,2.5,Yes,Standard,Yes,Yes,30.0,Debit Card,Quarterly
CUST1131,21.01,Male,Smartphone,Electronics,605.59,Houston,S,Green,Spring,3.7,Yes,Standard,Yes,No,8.0,Debit Card,Weekly
CUST1132,63.66,Female,Shoes,Books,471.93,New York,M,Green,Spring,1.2,Yes,Express,Yes,Yes,48.0,Credit Card,Monthly
CUST1133,67.24,Female,Shoes,Electronics,326.26,Los Angeles,L,Red,Winter,2.4,Yes,Express,No,No,23.0,PayPal,Monthly
CUST1134,22.45,Female,Laptop,Books,554.86,Los Angeles,L,White,Fall,1.3,Yes,Overnight,Yes,Yes,7.0,Debit Card,Weekly
CUST1135,43.27,Male,Laptop,Accessories,705.52,Houston,M,Green,Winter,3.9,No,Express,No,Yes,2.0,Debit Card,Weekly
CUST1136,21.6,Male,Headphones,Apparel,453.94,Los Angeles,L,Blue,Spring,4.7,No,Standard,No,No,10.0,PayPal,Monthly
CUST1137,57.55,Female,T-shirt,Footwear,615.65,New York,S,Red,Spring,3.5,Yes,Overnight,No,Yes,19.0,PayPal,Monthly
CUST1138,57.82,Female,Smartphone,Apparel,99.48,Los Angeles,M,Green,Summer,2.9,No,Express,Yes,No,28.0,PayPal,Monthly
CUST1139,24.68,Female,Laptop,Accessories,685.4,Houston,M,White,Spring,2.7,No,Express,No,No,11.0,Debit Card,Monthly
CUST1140,42.71,Female,Bag,Footwear,595.46,Chicago,S,Blue,Winter,3.6,No,Express,No,No,29.0,Debit Card,Quarterly
CUST1141,46.59,Female,Smartphone,Apparel,676.87,Chicago,S,Red,Winter,4.8,No,Express,No,No,31.0,Credit Card,Monthly
CUST1142,31.78,Female,Smartphone,Accessories,33.09,Phoenix,L,Blue,Summer,2.1,No,Express,No,No,18.0,Cash,Quarterly
CUST1143,63.37,Female,Smartphone,Footwear,508.76,Los Angeles,M,Green,Spring,4.9,No,Standard,No,No,5.0,Cash,Weekly
CUST1144,40.0,Male,Laptop,Footwear,73.75,New York,L,Green,Fall,4.7,Yes,Overnight,No,No,6.0,Cash,Weekly
CUST1145,29.01,Female,Headphones,Accessories,185.33,Chicago,L,Black,Fall,1.7,Yes,Overnight,No,Yes,12.0,PayPal,Monthly
CUST1146,46.04,Female,Bag,Electronics,278.37,Houston,S,Red,Summer,1.1,Yes,Express,Yes,No,38.0,Debit Card,Weekly
CUST1147,55.96,Male,Book,Apparel,567.22,Houston,L,White,Spring,2.6,Yes,Express,No,Yes,31.0,PayPal,Quarterly
CUST1148,28.46,Female,Headphones,Footwear,802.3,New York,S,White,Fall,2.0,Yes,Express,Yes,No,25.0,Cash,Monthly
CUST1149,34.21,Female,Shoes,Accessories,537.98,Phoenix,L,Red,Winter,2.7,Yes,Standard,No,Yes,37.0,Cash,Weekly
CUST1150,69.75,Female,Laptop,Books,725.71,Los Angeles,M,Black,Fall,1.8,Yes,Express,No,No,46.0,Credit Card,Weekly
CUST1151,51.79,Female,Book,Books,256.94,New York,M,Black,Fall,2.0,No,Express,No,Yes,12.0,Credit Card,Quarterly
CUST1152,40.78,Female,Smartphone,Apparel,122.08,Houston,S,Red,Spring,2.0,No,Express,Yes,No,41.0,Credit Card,Weekly
CUST1153,44.91,Female,T-shirt,Apparel,519.15,New York,S,Black,Winter,1.2,No,Standard,No,No,23.0,Credit Card,Monthly
CUST1154,24.29,Male,T-shirt,Accessories,178.05,New York,L,Green,Fall,2.2,No,Overnight,No,Yes,8.0,Debit Card,Quarterly
CUST1155,29.68,Male,Bag,Books,454.47,Chicago,M,Green,Spring,1.4,Yes,Standard,No,No,28.0,Credit Card,Weekly
CUST1156,35.58,Male,Book,Footwear,854.29,Los Angeles,S,Green,Summer,3.7,No,Overnight,Yes,Yes,23.0,Credit Card,Monthly
CUST1157,48.59,Female,T-shirt,Accessories,44.62,Los Angeles,XL,Blue,Fall,2.7,Yes,Overnight,Yes,Yes,49.0,Credit Card,Quarterly
CUST1158,29.97,Male,Laptop,Books,603.11,Phoenix,XL,Blue,Spring,2.0,Yes,Standard,Yes,No,47.0,Credit Card,Weekly
CUST1159,29.45,Male,T-shirt,Books,429.6,New York,XL,White,Summer,3.9,Yes,Standard,No,No,41.0,Debit Card,Monthly
CUST1160,21.69,Male,Smartphone,Accessories,688.37,Los Angeles,M,White,Fall,4.5,Yes,Overnight,No,Yes,12.0,Debit Card,Weekly
CUST1161,50.82,Female,Laptop,Accessories,968.72,Los Angeles,L,Blue,Spring,1.5,No,Standard,Yes,Yes,0.0,Cash,Weekly
CUST1162,29.9,Female,Laptop,Accessories,81.44,Houston,XL,Red,Spring,2.0,Yes,Express,Yes,Yes,28.0,Cash,Weekly
CUST1163,65.08,Male,Laptop,Footwear,484.74,Los Angeles,M,Blue,Summer,1.3,No,Overnight,Yes,Yes,15.0,Cash,Weekly
CUST1164,62.7,Male,T-shirt,Electronics,252.8,New York,L,Blue,Fall,3.3,No,Standard,Yes,Yes,7.0,Credit Card,Weekly
CUST1165,21.68,Female,Laptop,Books,390.37,Phoenix,L,Black,Summer,3.3,No,Express,Yes,Yes,39.0,Cash,Monthly
CUST1166,30.38,Male,Headphones,Books,745.81,Los Angeles,M,Blue,Spring,3.1,No,Standard,Yes,No,40.0,Credit Card,Monthly
CUST1167,52.79,Male,Headphones,Electronics,655.6,New York,M,Green,Spring,3.7,Yes,Standard,No,No,38.0,Cash,Monthly
CUST1168,29.14,Male,Bag,Electronics,180.75,Chicago,S,Green,Fall,3.6,Yes,Overnight,Yes,Yes,42.0,PayPal,Quarterly
CUST1169,24.88,Female,Bag,Apparel,379.84,Phoenix,M,Green,Fall,4.2,No,Overnight,Yes,No,16.0,PayPal,Quarterly
CUST1170,66.65,Female,Laptop,Footwear,305.77,New York,L,Red,Fall,2.6,No,Standard,Yes,Yes,15.0,Credit Card,Weekly
CUST1171,47.69,Male,Laptop,Footwear,227.31,Phoenix,L,Black,Winter,3.5,Yes,Standard,Yes,No,34.0,Cash,Quarterly
CUST1172,42.58,Male,Headphones,Apparel,866.24,Phoenix,S,Green,Summer,1.9,No,Express,Yes,No,40.0,Debit Card,Quarterly
CUST1173,58.8,Female,T-shirt,Electronics,585.65,Houston,M,Black,Winter,2.3,No,Standard,No,Yes,19.0,Cash,Quarterly
CUST1174,59.99,Male,Book,Accessories,495.88,New York,S,Red,Spring,4.4,No,Express,Yes,No,23.0,Cash,Monthly
CUST1175,27.9,Female,Smartphone,Footwear,715.26,Chicago,L,Black,Summer,2.3,No,Standard,No,No,10.0,Cash,Monthly
CUST1176,23.04,Male,Book,Footwear,809.38,Phoenix,XL,Blue,Spring,3.2,Yes,Overnight,No,No,45.0,PayPal,Weekly
CUST1177,40.41,Male,Shoes,Accessories,948.3,New York,XL,Red,Winter,3.5,Yes,Express,Yes,Yes,8.0,Credit Card,Monthly
CUST1178,40.03,Female,Laptop,Books,120.51,Houston,S,Blue,Fall,5.0,No,Overnight,No,No,1.0,Debit Card,Monthly
CUST1179,42.29,Female,Smartphone,Apparel,168.61,New York,XL,Black,Fall,4.6,No,Express,No,No,26.0,PayPal,Weekly
CUST1180,55.91,Female,Laptop,Accessories,136.34,New York,XL,Green,Fall,4.3,No,Overnight,No,Yes,15.0,Debit Card,Monthly
CUST1181,53.01,Male,Laptop,Footwear,978.9,Phoenix,XL,Blue,Winter,3.8,No,Standard,No,Yes,34.0,PayPal,Quarterly
CUST1182,69.18,Male,Book,Footwear,607.18,Houston,M,White,Fall,3.0,No,Standard,No,No,42.0,Credit Card,Quarterly
CUST1183,23.12,Female,Laptop,Footwear,28.56,Los Angeles,M,Black,Winter,4.7,No,Express,Yes,No,32.0,Credit Card,Weekly
CUST1184,38.94,Female,Headphones,Footwear,498.66,Phoenix,M,Black,Summer,4.6,Yes,Express,Yes,Yes,40.0,Debit Card,Weekly
CUST1185,35.64,Male,Laptop,Accessories,795.37,Chicago,M,Red,Summer,2.6,No,Express,Yes,No,31.0,Debit Card,Quarterly
CUST1186,62.81,Male,Shoes,Apparel,432.82,Chicago,XL,Blue,Winter,5.0,No,Overnight,Yes,No,6.0,Credit Card,Monthly
CUST1187,30.93,Female,Shoes,Apparel,709.87,Phoenix,L,Green,Fall,1.7,Yes,Standard,Yes,Yes,25.0,PayPal,Monthly
CUST1188,27.89,Male,Headphones,Footwear,898.2,Phoenix,S,Blue,Spring,3.0,No,Overnight,Yes,No,22.0,Debit Card,Monthly
CUST1189,41.33,Male,Book,Accessories,371.45,New York,L,Blue,Summer,3.4,No,Overnight,Yes,No,3.0,PayPal,Weekly
CUST1190,39.94,Male,Smartphone,Footwear,545.77,Phoenix,S,Red,Fall,3.9,Yes,Overnight,No,Yes,42.0,Debit Card,Monthly
