Contract ID,Country,Supplier,Contract Value (USD),Bidders Count,Award Date,Contract Duration (Months),Risk Score
f569d349,Nigeria,"Monroe, Turner and Smith",20730927.0,2,2021-01-23,6,High
376c3f86,Rwanda,Wilson PLC,26879374.28,10,2020-08-10,6,High
994c4246,Morocco,"Frank, Vaughn and Graves",12690818.29,10,2023-03-26,6,High
9dd25dbb,Ghana,Cochran Group,39092746.7,5,2020-12-01,6,High
9a6f2647,Senegal,Hill-Terry,11333378.8,1,2024-11-19,6,High
97908b20,Ghana,Smith-Dickerson,5886293.03,2,2023-02-20,24,Low
6dc8407d,Zambia,"Travis, Roberts and Martinez",17750486.8,2,2024-11-23,3,High
fbbe5158,Egypt,Sanchez PLC,4300757.09,2,2024-10-25,6,Low
dd886297,Rwanda,"Bowman, Smith and Russell",14140422.01,5,2023-12-29,6,High
cfecf0d7,Egypt,"Carter, Barber and Logan",1882603.45,10,2024-12-23,24,Low
1c4d4bd3,South Africa,Herrera and Sons,9970945.27,1,2022-06-17,24,High
19687e6e,Egypt,"Gay, Thompson and Conrad",17818789.23,1,2022-08-11,6,High
96d60630,South Africa,Walsh Ltd,30223364.6,2,2021-12-29,3,High
3f1d6e7d,Kenya,Atkins and Sons,44971448.53,3,2024-10-19,6,High
67a9db62,South Africa,"Archer, Smith and Baker",49403989.75,2,2020-11-08,6,High
0bfbe50b,Egypt,Rivera Inc,46449922.7,3,2024-02-13,3,High
0f5df18c,Egypt,"Sexton, Ross and Wright",43699372.45,10,2023-06-05,24,High
c5724788,Kenya,"Brown, Miller and Lopez",10990964.54,3,2022-12-24,12,High
efa42d9c,Uganda,Gardner Inc,35492609.56,1,2021-09-25,6,High
0a6d631c,Morocco,Young-Carr,6155205.75,3,2023-04-11,36,Low
7064fa88,South Africa,Black LLC,22163575.92,10,2022-03-30,12,High
5752f1ed,Zambia,"Dean, Coleman and Kaufman",13310663.96,1,2022-01-21,12,High
740f53f8,Zambia,Harmon-Nelson,27308515.65,10,2020-12-14,36,High
09a3af76,Egypt,"Fernandez, King and Shaw",34951125.39,5,2025-02-26,24,High
83ad9ea1,Uganda,Valencia and Sons,390285.47,5,2021-02-23,6,Low
cc3d2115,Nigeria,Williams Inc,24109939.44,1,2023-09-30,6,High
6115d335,Kenya,Wilson-Rivas,49496840.98,10,2024-07-23,12,High
59a4948f,Senegal,Martinez LLC,42348652.91,3,2024-05-05,6,High
48d70cf6,Senegal,"Miller, Alexander and Nelson",44078007.04,3,2022-05-03,24,High
7830ae49,Nigeria,"Reilly, Roth and Kaufman",26688084.19,1,2022-10-23,3,High
f459a439,Senegal,Harrison Ltd,37871559.21,2,2024-01-16,3,High
f88044eb,Uganda,Webb Inc,2244620.58,1,2022-08-10,24,High
cf96c1e2,South Africa,"Jones, Sanchez and Rodriguez",31302323.61,10,2023-09-02,3,High
b641d1c3,Nigeria,"Davis, Fitzgerald and Smith",23794743.01,1,2024-05-28,24,High
b6b3b722,South Africa,"Bishop, Baker and Garcia",20495258.4,10,2022-04-20,6,High
ed5176c4,Nigeria,"Cummings, Terry and Floyd",37660170.73,3,2020-06-11,36,High
b1a9a68b,Kenya,Oliver LLC,28528204.17,3,2021-09-03,12,High
c53836db,Senegal,"Gonzalez, Acosta and Lara",44784467.57,3,2022-07-15,12,High
6082ad77,Senegal,Alvarado-Rogers,43160907.72,2,2023-04-05,36,High
470f4e58,Tanzania,Rios Group,18444821.85,3,2024-02-09,36,High
36a27612,Senegal,Chaney-Powell,19600013.5,2,2023-06-25,12,High
23629aad,Morocco,"Hays, Silva and Gonzalez",47518859.37,1,2024-10-07,36,High
ee4a8e33,Rwanda,Lopez-Soto,38352068.32,1,2024-12-03,3,High
1958984a,Zambia,Fox Group,33404085.56,2,2023-03-07,12,High
9f9a8dd5,Morocco,Shepherd LLC,17864184.94,3,2022-12-12,6,High
cc5fbfae,Nigeria,"Suarez, Rodriguez and Barry",1065607.77,3,2022-02-22,3,Low
054d8cce,Uganda,Mcgee-Curtis,5507591.11,5,2023-12-26,12,Low
63732c0e,Uganda,Jackson Ltd,32779661.73,3,2025-02-20,12,High
b22c1825,Kenya,Martin-Roberts,16806899.95,2,2020-08-02,36,High
71131442,Morocco,"Mcdonald, Scott and Underwood",28141363.38,1,2020-08-21,36,High
c3ea581b,Ghana,Brady-Mitchell,48578700.5,3,2023-09-02,24,High
27effe41,Uganda,Welch-Hernandez,3581227.97,3,2020-08-29,6,Low
27d47972,Ghana,Mitchell-Duffy,13464858.79,5,2021-02-15,6,High
7467e753,Senegal,"Lopez, Johnson and Ross",45964084.17,3,2022-11-21,12,High
dbb1108e,Morocco,"Williams, Velez and Jones",32125288.39,3,2024-12-30,36,High
dde4ab47,Rwanda,Hopkins-Morgan,16792202.51,3,2022-06-09,24,High
f69651b5,Senegal,"Walker, Savage and Vaughn",23222418.64,2,2020-07-22,12,High
c0a0344c,Egypt,Bell and Sons,32668328.12,5,2021-08-21,12,High
9464b2e9,Rwanda,"James, Simmons and Lindsey",1604651.03,5,2024-11-26,12,Low
1d8a94fc,Senegal,Mcclain Inc,47340384.08,10,2023-05-02,24,High
afe20472,Egypt,Jarvis-Obrien,20110978.53,5,2020-12-19,36,High
9e09d82a,Nigeria,James LLC,6556895.77,3,2021-05-12,3,Medium
e8ff33ba,Rwanda,"Peterson, Jones and Garrett",13196881.18,10,2022-03-19,6,High
b3488cb7,Rwanda,"Carr, Robertson and Robbins",28580659.29,3,2023-01-03,6,High
67e904a6,Ethiopia,"Benson, Lawson and Hodges",41259303.83,5,2024-11-10,6,High
880213b3,Nigeria,Barnes-Lang,5462200.94,3,2023-11-24,3,Medium
3d0579ab,Egypt,Alvarado PLC,30048869.35,5,2024-02-19,36,High
45c6dcf4,Zambia,Blankenship PLC,49114335.06,5,2025-03-05,3,High
6b1ba5c1,Egypt,Weber-Washington,7170222.24,1,2024-04-20,12,High
9030f1ff,Senegal,Nunez and Sons,14346451.94,2,2023-08-05,12,High
d8376d65,Egypt,"Hogan, Mcdonald and Scott",29632166.07,10,2024-04-02,6,High
4267b9da,South Africa,Klein Ltd,10567581.65,5,2021-07-07,6,High
82d9b09e,Rwanda,Howell-Doyle,11422194.27,2,2020-12-11,6,High
8c68f943,South Africa,"Smith, Hopkins and Castillo",28351463.63,3,2022-06-10,36,High
80fe55ea,Kenya,Schmidt Ltd,34717403.42,10,2022-07-30,24,High
dea0f35c,Uganda,Mann and Sons,3754101.4,1,2023-03-24,6,High
52c33a6c,Kenya,Mcdonald-Coleman,35950423.0,10,2022-08-07,6,High
b40dc22f,South Africa,"Hall, Franklin and Smith",23709100.3,1,2024-08-03,12,High
a2440b44,Morocco,Thompson Group,26668780.44,5,2020-10-16,12,High
bec78c9b,Morocco,"Perry, Harvey and Miller",26201467.92,3,2024-01-23,6,High
d5ed0cb3,Morocco,"Ray, Ferguson and Anderson",41286395.12,5,2025-02-12,6,High
88baff4d,Zambia,"Williams, Gonzalez and Weaver",4412917.26,1,2020-04-24,6,High
b3dbc21a,Morocco,George Inc,27034523.2,2,2024-12-17,3,High
f2a94de2,Tanzania,"Edwards, Bell and Wilson",21896114.71,3,2021-09-26,24,High
f46d0125,Uganda,Carr-Clay,15004841.96,5,2025-03-06,12,High
efcad053,Zambia,Whitehead-Harris,10416745.85,10,2024-01-01,36,High
ef7a26fa,Nigeria,"Foster, Palmer and Smith",18964954.77,2,2021-04-09,36,High
ccf10d0e,Morocco,"Morgan, Johnson and Parker",43764081.49,3,2020-03-20,12,High
56cebeab,Kenya,Rivera and Sons,20485355.51,5,2022-03-16,36,High
f9e40be4,Zambia,Pierce PLC,26567614.43,5,2025-03-07,3,High
49cbb469,Kenya,"Hill, Mcpherson and Smith",40084499.97,3,2020-08-29,6,High
d2063c6d,Ethiopia,Mcbride Ltd,44702595.51,10,2021-06-27,36,High
9a12c935,Morocco,"Gutierrez, Knight and Guzman",43094517.74,3,2021-08-01,24,High
f55f6878,Tanzania,Wilson-Meyer,38416639.17,10,2020-08-20,36,High
bab20952,South Africa,"Hernandez, Morgan and Mcbride",29205213.27,3,2023-06-13,12,High
cdf5edbf,Nigeria,Castro Inc,24325741.11,3,2021-12-22,36,High
34b54540,Uganda,Smith Ltd,5096348.86,3,2022-01-19,3,Medium
4251a27e,Nigeria,"Hill, Hamilton and Trujillo",44665861.26,1,2023-09-21,24,High
bd02ba07,Nigeria,"Hall, Stewart and Patrick",24252942.19,2,2020-07-29,3,High
d3c7ba17,Senegal,"Jones, Raymond and Brown",622490.06,5,2022-04-26,36,Low
ec80518c,Ghana,Stewart and Sons,15470207.03,10,2023-08-22,6,High
0dedde15,Morocco,Gonzalez-Wells,17710180.49,5,2025-02-27,6,High
bc5fee6c,South Africa,Powell-Lee,8493470.75,1,2022-03-26,36,High
d65e0af5,Morocco,Wolf Group,7422590.54,10,2024-06-20,12,Low
697c3c5f,Rwanda,Lynn PLC,13457460.33,5,2023-12-19,36,High
c891d8ec,Zambia,"Ruiz, Washington and Guzman",27749803.65,5,2024-09-05,36,High
2282c2aa,Ethiopia,Lawson Group,4597365.04,10,2021-06-11,3,Low
d9ebbd23,Ethiopia,Allen-Alexander,43608661.27,5,2025-01-07,3,High
3d5e2ffe,Egypt,"Brown, Moore and Mason",44270584.72,2,2025-03-09,6,High
1e11abdb,Senegal,Smith Inc,22820216.62,2,2023-08-14,12,High
d98d2c9b,South Africa,Garcia Group,25887765.05,3,2025-03-09,12,High
dd1a942a,Ethiopia,Fuller Group,41404289.43,1,2024-11-13,12,High
1ab0fe9b,Ghana,Meyer-Travis,24170328.16,5,2021-09-20,36,High
74c7024e,Ethiopia,"Collins, Cherry and Bryant",30614743.96,1,2020-04-24,6,High
cc756026,Rwanda,Hooper-Harris,16230046.6,10,2024-03-12,36,High
032ddd19,Kenya,"Lane, Moss and Thompson",39247257.42,3,2020-04-05,24,High
afe849aa,Nigeria,Bradley Ltd,10642492.7,10,2021-09-16,12,High
b2adccd1,South Africa,Johnson Group,11118944.31,1,2022-11-03,12,High
c6996fd9,Rwanda,Lawson-Wolfe,15062559.96,2,2024-02-14,3,High
dded27c3,Nigeria,Smith-Holmes,4892614.62,5,2025-02-18,36,Low
04da41ec,Ethiopia,"Mitchell, Lopez and Atkinson",22893217.33,10,2024-06-19,12,High
f14bdf99,Morocco,"Peterson, Villanueva and Graham",5489489.59,2,2021-05-13,6,Low
76d0159f,Zambia,Young-Knox,49653001.44,1,2024-06-13,3,High
b94ff013,Egypt,Kane Ltd,7923420.66,2,2021-02-13,24,Low
0a21c5a0,Nigeria,Mcdonald Inc,41739488.48,5,2021-09-03,6,High
0175f7fb,Kenya,Garcia-Morris,18148091.21,5,2022-05-20,24,High
4e51ccc3,Rwanda,Wells LLC,46490545.74,10,2020-07-04,3,High
6f7d6a8c,Ethiopia,"Ellis, Winters and Harrison",18043265.58,3,2023-10-20,12,High
8ae9379a,Tanzania,"Stevens, Curtis and Mcdaniel",23384931.64,2,2022-06-19,3,High
7caca2db,Uganda,Morgan-Stafford,6548758.58,2,2020-07-02,3,Medium
de56421f,Uganda,"Lee, Morgan and White",41224665.69,2,2020-05-12,24,High
4020abb0,Egypt,"Simmons, Johnson and Rodriguez",22446397.25,2,2024-09-03,12,High
7e070f44,Egypt,Ware-Stevenson,42971728.72,2,2025-02-24,3,High
8c66d4ec,Nigeria,Sheppard LLC,22912831.06,1,2023-05-05,12,High
26240ecf,Senegal,Long PLC,8476375.74,3,2022-05-29,6,Low
880c22d7,Ghana,"Castro, Torres and Shelton",10197502.31,1,2022-05-10,6,High
a1b75350,Kenya,Bishop-Sanchez,22909162.3,2,2021-04-14,6,High
47206e72,Zambia,Clark-Holmes,18993481.93,3,2020-06-11,24,High
ceefa10c,Tanzania,"Dean, Aguilar and Williams",31405757.1,3,2023-03-07,3,High
8844cd14,Rwanda,"Mcpherson, Stevenson and Acosta",37360295.72,3,2022-08-05,12,High
7a17ce56,Zambia,Bush Group,24005857.02,10,2023-04-26,3,High
14e1e574,Uganda,Young LLC,15005628.33,2,2024-12-11,6,High
b0110b32,South Africa,Hernandez Inc,25939534.65,5,2020-08-28,12,High
c9f8b795,Uganda,Bentley Inc,39749850.01,5,2024-08-02,3,High
3faeb9bf,Morocco,Perkins LLC,47450798.79,3,2021-11-10,24,High
cc27086e,Kenya,Williams-Smith,5984041.1,10,2021-12-25,3,Medium
ac6c84f3,Uganda,"Flynn, Anderson and Medina",18037493.0,5,2021-05-14,12,High
22abc769,Ghana,Fuller and Sons,16264568.83,1,2023-01-12,6,High
d1e8a920,Senegal,Martinez-Hamilton,21126504.25,1,2022-06-29,3,High
f7ff4345,Nigeria,"Mcknight, Hernandez and Hill",30122332.46,1,2023-04-05,36,High
0d8376d9,Ethiopia,Barnes PLC,29045195.45,5,2024-10-26,6,High
17486308,Nigeria,"Anderson, Miller and Henry",32928053.78,10,2021-02-28,6,High
968e9b54,Ethiopia,Mcdaniel-Cortez,31114852.28,2,2022-05-09,24,High
3fdb82dd,Morocco,Miller-Smith,8947501.97,3,2022-05-25,12,Low
cde53e49,Zambia,"Moran, Fisher and Jackson",20198193.73,5,2025-01-05,12,High
6ed9ba77,Zambia,Costa-Andrews,29668055.83,5,2023-11-28,36,High
f793ee7a,Egypt,Campbell-Perez,7866722.09,1,2020-07-08,3,High
fce9934c,Kenya,Miller-Baker,2727963.4,5,2021-07-08,6,Low
df897094,Senegal,"Mendoza, Rogers and Woodward",38735441.37,3,2023-07-08,36,High
d205a5a9,Kenya,Morgan Ltd,33764030.91,1,2022-07-03,3,High
a3fef939,Egypt,"Parker, Clark and Brown",46944662.39,10,2021-08-02,6,High
825caab0,South Africa,Martin-Cook,46253075.15,2,2021-12-10,24,High
e23e6d30,Uganda,"Brown, Ross and Garcia",32229391.05,5,2022-12-22,24,High
d60d5770,Zambia,Haynes-Snyder,27102682.25,1,2020-05-12,36,High
891b99f0,Uganda,"Harris, Lopez and Young",24071612.38,1,2020-12-13,24,High
73c13ac9,Nigeria,Acosta-Robinson,42081501.48,2,2021-11-23,6,High
e3303901,Morocco,Estrada-Hughes,19456776.85,3,2024-05-19,6,High
8b4a5fb8,Zambia,Brooks LLC,6219523.52,2,2024-02-02,6,Low
ff106e47,Rwanda,"Hall, Taylor and Scott",7148371.16,2,2025-01-01,6,Low
9c2b4d08,Rwanda,"Vasquez, Cook and Kelly",37272340.57,1,2021-06-04,6,High
f040eac2,Uganda,Price-Snyder,41461712.41,10,2024-05-26,36,High
07fd317b,Zambia,"Franklin, Young and Clay",39889238.9,2,2025-02-01,12,High
aaa516e8,Rwanda,"Matthews, Haney and Hernandez",42500564.61,1,2023-10-04,12,High
e85378ee,Rwanda,"Castillo, Baker and Elliott",29882319.14,5,2022-06-23,36,High
ade4c8c1,Egypt,"Noble, Andersen and Woods",13111719.05,10,2020-05-20,3,High
4b932ae8,Morocco,Day Ltd,22229558.42,1,2020-11-21,6,High
2c41d5a1,Tanzania,Miller and Sons,40062978.56,3,2022-03-06,24,High
71e7ee80,Nigeria,Parrish-Barber,13093555.63,3,2020-05-18,6,High
fd9bfd1a,South Africa,Jacobs Inc,1253429.49,3,2021-02-09,12,Low
cbddd1cb,South Africa,Harris-Green,46245081.65,1,2022-04-08,6,High
6e408403,Uganda,"Andrade, Murphy and Nichols",3060139.26,3,2024-01-13,24,Low
fd3fed87,Uganda,Smith and Sons,14359644.57,10,2024-08-24,3,High
fd855a36,Uganda,Mccoy-Spencer,15396787.43,3,2023-12-07,6,High
c0aeda92,Ethiopia,Moreno-Brown,1204141.74,10,2022-09-08,6,Low
ef18f286,Ethiopia,Arias-Smith,34870838.75,5,2023-04-19,12,High
431a95d5,Kenya,"Elliott, Gonzalez and Kennedy",18149066.0,1,2021-11-21,6,High
5a38deca,Ghana,Myers-Mitchell,24676923.68,1,2023-05-05,36,High
01d63e4a,Morocco,Cunningham-Dominguez,30665224.66,3,2021-04-02,6,High
c1b5abf8,Zambia,"Murphy, Travis and Mitchell",38531486.01,5,2022-06-04,36,High
048946fd,Kenya,"Ross, Webb and Delgado",44828095.98,10,2022-10-21,6,High
c6329f63,Morocco,Brown-Oliver,5475144.31,1,2022-03-10,3,High
90537ed0,Tanzania,Stevens Inc,24853571.97,1,2023-09-10,6,High
fb8862a9,Morocco,"West, Brown and Carlson",12930469.52,10,2021-11-08,36,High
d6a97739,Kenya,"Campbell, Johnson and Sloan",31972014.63,5,2021-03-18,6,High
d384f1b1,Rwanda,Williams LLC,24955043.71,5,2023-03-09,6,High
89bac201,Ghana,Sanchez-Holmes,44013437.73,2,2021-08-28,24,High
5552537c,Zambia,"Best, Brown and Chandler",31502734.66,1,2020-06-08,6,High
65cbb06c,South Africa,"Velez, Fitzgerald and Davis",7997690.63,1,2024-05-22,3,High
5adfdc26,Kenya,Aguilar-Green,28997221.06,1,2020-10-01,36,High
199dd753,Rwanda,Mcdonald LLC,43486494.95,5,2022-09-03,36,High
893bbef7,Kenya,"Williams, Bishop and Gutierrez",3613438.79,1,2023-02-08,24,High
194e0196,Kenya,Ray-Gonzalez,13088879.58,5,2023-11-17,12,High
a560255b,Senegal,"Butler, Smith and Thomas",746215.39,5,2025-01-13,12,Low
a95ef085,Egypt,Finley-Santos,8780498.45,3,2023-04-04,12,Low
4da6a261,Nigeria,Jordan PLC,36770410.69,5,2024-08-14,36,High
49d0f478,Ethiopia,Davis and Sons,21611346.67,2,2024-09-20,3,High
3e6f12ac,Zambia,King-Perry,46498196.3,5,2024-03-18,6,High
875df878,South Africa,Parker-Jones,21602067.22,10,2022-10-02,12,High
d83c3ef2,Morocco,Alvarez LLC,25476257.4,1,2024-07-27,36,High
96bfcb49,Tanzania,Park and Sons,37905800.83,10,2023-10-19,36,High
bf64a3af,Senegal,Hanna-Hutchinson,1728228.44,10,2022-03-18,36,Low
1b5888d5,Zambia,"Gilmore, Johnson and Hill",32505262.24,1,2023-01-19,3,High
d3a6ed11,Morocco,"Fisher, Morgan and King",1066189.0,3,2024-12-24,6,Low
9db6590d,Tanzania,"Cohen, Lester and Ruiz",12623017.79,1,2023-03-19,3,High
616de47c,Uganda,"Watson, Pitts and Mccarthy",46228753.21,3,2024-08-13,6,High
633c5881,Ethiopia,Nguyen-Deleon,13161406.89,2,2023-11-16,12,High
539f21e4,South Africa,Campos PLC,13132958.87,5,2021-09-13,12,High
75d497e4,Morocco,Hoover Ltd,38855798.24,10,2021-06-10,6,High
eb7d2c7a,South Africa,Clark Inc,15829018.89,2,2021-03-18,36,High
eed120f4,Rwanda,Horn Inc,2856898.43,10,2024-04-04,3,Low
2fb81811,Uganda,"West, Nichols and Farmer",40580207.01,2,2022-08-27,36,High
0d19ce9a,Nigeria,Harris-Padilla,40440201.28,5,2022-01-11,3,High
ac8d2cbd,Rwanda,Cohen-Johnson,106572.35,2,2020-08-27,24,Low
fe122d65,Uganda,"Morales, Romero and Lopez",44436269.9,10,2022-05-01,36,High
f9b1b62b,Kenya,"Cox, Hancock and Welch",41254559.29,3,2022-10-10,36,High
7bf2f766,Ethiopia,Allen-Gonzales,41220671.2,5,2021-08-16,3,High
5295cb63,Nigeria,"Frazier, Stevens and Doyle",26466996.83,1,2021-07-12,12,High
085024be,Zambia,Wilkins-Woodard,49682814.93,3,2022-10-28,3,High
117c6559,Egypt,"Cain, Stokes and Williams",29907647.79,2,2022-07-20,3,High
bd767cdc,Ethiopia,Hull-Stephenson,29633448.99,3,2023-07-28,12,High
4929a17f,Morocco,Williams-Bates,45791852.93,1,2023-02-03,12,High
1aea052a,Rwanda,Lopez-Martin,27587938.8,5,2024-04-04,6,High
ca405e22,Zambia,"Jensen, Adams and Norman",4325407.7,10,2023-06-05,36,Low
5654a753,Kenya,Thompson-Palmer,188630.44,10,2021-02-14,6,Low
83c95aa2,Morocco,Goodwin LLC,4713969.84,2,2021-02-20,12,Low
e4f5d04b,South Africa,"King, Hutchinson and Wiley",11794443.14,1,2024-05-07,36,High
fd2cf322,Kenya,Mejia LLC,43670557.5,5,2022-02-16,3,High
df46c804,Uganda,Douglas-Hayes,9155863.24,1,2022-04-08,36,High
6897a550,South Africa,"Sullivan, Mills and Carney",37633179.19,3,2024-03-24,24,High
01e91d65,Uganda,"Williams, Woods and Wilkinson",42267262.78,2,2021-08-18,6,High
45e3bdfa,Rwanda,Torres PLC,38790482.45,1,2020-07-02,24,High
6fc6c45b,Ethiopia,Morris-Moore,11011496.56,10,2023-04-17,36,High
1f3bcebb,Morocco,Lewis-Russell,4543685.79,3,2020-06-03,6,Low
3604ecb1,South Africa,Crawford Ltd,11671135.5,10,2024-08-31,12,High
f03d86c5,South Africa,Edwards Ltd,27917161.1,10,2021-02-17,24,High
6f51a3eb,South Africa,"Warren, Allen and Carter",14044488.3,5,2021-09-09,6,High
44cd9322,Uganda,"Scott, Hodges and Williams",49817779.74,2,2021-08-19,6,High
66a2e6ca,South Africa,"Carr, Rivera and Blevins",5967986.62,3,2024-11-28,3,Medium
59c5e32a,Ethiopia,Deleon and Sons,32815883.97,10,2023-02-23,6,High
ef663995,Nigeria,Bright-Arnold,8152867.22,5,2020-07-31,24,Low
c09f5eb0,South Africa,Cross LLC,14012373.2,3,2023-11-24,24,High
9091af7c,Ghana,Robinson-Allen,20046970.83,3,2024-05-16,36,High
654cc786,Egypt,Anderson Inc,23734070.46,10,2025-02-05,24,High
1c4a5329,Senegal,Martinez Group,13649949.29,1,2022-03-11,36,High
5898a54c,Senegal,"Ramirez, Moore and Johnson",20269857.49,3,2023-03-20,24,High
983e9297,Uganda,Gregory Ltd,41401540.89,3,2024-02-15,24,High
7188f35c,Egypt,Bowen Inc,44960820.42,10,2023-12-06,24,High
8232e005,Uganda,Avila PLC,43203722.57,10,2023-06-02,6,High
60efe678,Morocco,"Smith, Green and Robinson",5643058.11,5,2023-03-05,36,Low
2a3458dc,Senegal,Ramirez-Orr,40066932.41,1,2022-07-08,3,High
eeafc022,Zambia,"Macias, Molina and Davis",27302251.87,10,2020-04-28,24,High
02f6c311,Kenya,"Weiss, Watson and Wilson",9304605.22,3,2022-05-24,36,Low
b2acd154,Ghana,Miller-Gregory,12371229.84,3,2020-09-30,6,High
831202a0,Tanzania,Tucker-Crawford,27934126.21,3,2024-04-17,36,High
b19c8d96,Egypt,Holland LLC,20024859.37,3,2024-03-02,36,High
dec69473,Nigeria,Barnett PLC,10016800.24,5,2021-07-12,6,High
3f1881d4,Ghana,Combs Ltd,10760075.84,2,2020-11-16,12,High
dd570ab8,Egypt,Berger-Martin,16942181.47,2,2022-08-16,6,High
0d242573,Nigeria,Stephens-Maxwell,26841335.46,1,2021-12-25,12,High
365e83b9,Ghana,Whitaker Group,6916261.16,5,2022-06-07,3,Medium
b79ef4c0,Tanzania,Hicks Ltd,37344147.6,1,2024-08-03,6,High
277583ba,Ghana,Brewer-Dyer,18844659.39,1,2020-11-10,36,High
e053e586,Zambia,Jackson-Bennett,37587903.83,10,2020-06-27,3,High
fa602fd2,Egypt,"Navarro, Palmer and Roberts",17449255.33,10,2022-09-30,12,High
7461e284,Senegal,"Campbell, Summers and Mcintosh",40681489.38,10,2023-04-17,24,High
b1ebe878,Zambia,Bradshaw-Fernandez,24151611.47,1,2020-09-28,3,High
3ffe0c64,Uganda,Shepherd-Malone,14835392.57,1,2022-12-06,24,High
10983897,Rwanda,Williams-Jones,13873022.75,2,2024-09-20,3,High
90d0aabd,Zambia,"Brown, Harrison and Avery",29287298.37,3,2022-08-17,24,High
27b6f9d4,Rwanda,Schwartz-Shaw,47778646.09,1,2022-09-24,36,High
d7fbfaf2,Ghana,"Beard, Martinez and Snyder",44460255.13,5,2021-06-11,3,High
b78777dc,Ghana,Rodriguez-Cooper,18364637.26,3,2022-08-31,6,High
ffa52514,Tanzania,Hughes-Butler,41726955.39,2,2021-05-12,6,High
84ccb1c7,South Africa,"Rogers, Frank and Ferguson",1031159.96,10,2023-11-06,12,Low
5c12b1ba,Morocco,"Chavez, Ingram and Lopez",42997469.96,10,2022-10-03,6,High
c5d5f48f,South Africa,Reynolds-Callahan,28201741.97,3,2024-09-20,3,High
1530d474,Rwanda,"Taylor, Sandoval and Cunningham",49972281.75,3,2024-10-12,36,High
59d0ddab,Uganda,"Hall, Stephenson and Mcdonald",43405287.29,3,2022-08-22,24,High
2f4f9749,Uganda,Armstrong Inc,30170917.9,10,2021-12-08,6,High
26bb02b0,Senegal,"Booth, Bass and Palmer",1221470.21,1,2022-04-24,6,High
88fabc3e,Nigeria,Neal Inc,43646005.42,2,2021-11-29,36,High
0c362ac4,Morocco,Lee PLC,22619100.89,5,2023-06-09,6,High
18f2d47b,Kenya,"Flores, Lamb and Coleman",23537051.28,3,2023-08-09,36,High
36510174,Nigeria,Johnson Group,46737454.39,2,2024-08-02,36,High
